trajectory,pattern,n_genes,is_total_order,s_exp,n_patients,pval,wy_threshold,mined_by_multimastro,seeds_hit,seeds_hit_ids,mined_in_seeds,mined_in_seeds_ids
CBFB < GATA3,CBFB->-GATA3,2,yes,21.000000,21,1.255216e-04,1.346901e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
TP53 < ALK,TP53->-ALK,2,yes,11.697406,12,6.189026e-05,1.346901e-04,yes,4,1;5;6;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < RICTOR,TP53->-RICTOR,2,yes,8.678626,9,6.308209e-05,1.346901e-04,yes,4,4;5;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2A,TP53->-KMT2A,2,yes,13.000000,13,6.961744e-05,1.346901e-04,yes,4,3;4;7;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < BARD1,TP53->-BARD1,2,yes,10.000000,10,8.066700e-05,1.346901e-04,yes,5,2;3;6;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < NOTCH4,TP53->-NOTCH4,2,yes,10.697674,11,5.272154e-05,1.346901e-04,yes,6,1;2;3;5;6;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < MAP3K1,TP53->-MAP3K1,2,yes,23.903146,25,8.526037e-05,1.346901e-04,yes,6,0;1;3;5;7;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < NSD1,TP53->-NSD1,2,yes,13.000000,14,8.580467e-05,1.346901e-04,yes,6,2;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < FAT1,TP53->-FAT1,2,yes,18.000000,18,7.099420e-05,1.346901e-04,yes,7,0;2;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTPRD,TP53->-PTPRD,2,yes,13.903458,15,5.978652e-05,1.346901e-04,yes,8,1;2;3;4;5;6;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTPRS,TP53->-PTPRS,2,yes,10.665753,11,5.437131e-05,1.346901e-04,yes,9,0;1;2;3;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < FLT4,TP53->-FLT4,2,yes,12.000000,12,5.474234e-05,1.346901e-04,yes,9,0;1;2;3;4;5;6;7;9,10,0;1;2;3;4;5;6;7;8;9
CBFB < PIK3CA,CBFB->-PIK3CA,2,yes,32.500000,33,2.541932e-06,1.346901e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
PIK3CA < SF3B1,PIK3CA->-SF3B1,2,yes,19.000000,19,5.628336e-06,1.346901e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
AKT1 < TP53,AKT1->-TP53,2,yes,19.000000,19,1.119178e-05,1.346901e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
CDH1 < PIK3CA,CDH1->-PIK3CA,2,yes,100.000000,101,4.999750e-05,1.346901e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2D,TP53->-KMT2D,2,yes,24.000000,24,5.046848e-05,1.346901e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < ARID2,TP53->-ARID2,2,yes,15.000000,15,5.073241e-05,1.346901e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2C,TP53->-KMT2C,2,yes,29.400000,30,5.671300e-05,1.346901e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < ERBB3,TP53->-ERBB3,2,yes,11.000000,11,5.836201e-05,1.346901e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTEN,TP53->-PTEN,2,yes,38.000000,38,5.995714e-05,1.346901e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < SETD2,TP53->-SETD2,2,yes,10.750000,11,6.002458e-05,1.346901e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
