trajectory,pattern,n_genes,is_total_order,s_exp,n_patients,pval,wy_threshold,mined_by_multimastro,seeds_hit,seeds_hit_ids,mined_in_seeds,mined_in_seeds_ids
TP53 < ALK,TP53->-ALK,2,yes,11.697406,12,1.161208e-04,1.950851e-04,yes,4,1;5;6;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < RICTOR,TP53->-RICTOR,2,yes,8.678626,9,1.584073e-04,1.950851e-04,yes,4,4;5;7;8,10,0;1;2;3;4;5;6;7;8;9
CDH1 < KMT2C,CDH1->-KMT2C,2,yes,23.500000,24,1.890096e-04,1.950851e-04,yes,4,2;3;4;7,10,0;1;2;3;4;5;6;7;8;9
TP53 < NSD1,TP53->-NSD1,2,yes,13.000000,14,5.693130e-05,1.950851e-04,yes,6,2;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < NOTCH4,TP53->-NOTCH4,2,yes,10.697674,11,7.119736e-05,1.950851e-04,yes,6,1;2;3;5;6;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTPRD,TP53->-PTPRD,2,yes,13.903458,15,1.586970e-04,1.950851e-04,yes,8,1;2;3;4;5;6;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTPRS,TP53->-PTPRS,2,yes,10.665753,11,8.943886e-05,1.950851e-04,yes,9,0;1;2;3;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < FLT4,TP53->-FLT4,2,yes,12.000000,12,1.751548e-04,1.950851e-04,yes,9,0;1;2;3;4;5;6;7;9,10,0;1;2;3;4;5;6;7;8;9
CBFB < PIK3CA,CBFB->-PIK3CA,2,yes,32.500000,33,5.003879e-06,1.950851e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
PIK3CA < SF3B1,PIK3CA->-SF3B1,2,yes,19.000000,19,2.452104e-05,1.950851e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
CDH1 < PIK3CA,CDH1->-PIK3CA,2,yes,100.000000,101,4.999753e-05,1.950851e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < ARID2,TP53->-ARID2,2,yes,15.000000,15,5.427954e-05,1.950851e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2D,TP53->-KMT2D,2,yes,24.000000,24,5.477051e-05,1.950851e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < ERBB3,TP53->-ERBB3,2,yes,11.000000,11,8.017695e-05,1.950851e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTEN,TP53->-PTEN,2,yes,38.000000,38,1.199998e-04,1.950851e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
AKT1 < TP53,AKT1->-TP53,2,yes,19.000000,19,1.258357e-04,1.950851e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < SETD2,TP53->-SETD2,2,yes,10.750000,11,1.531676e-04,1.950851e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2C,TP53->-KMT2C,2,yes,29.400000,30,1.581229e-04,1.950851e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
