pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,101.000000,101,4.666296e-12,
TP53->-PIK3CA,2,1,84.000000,84,3.233721e-02,
PIK3CA->-TP53,2,1,70.000000,70,6.617604e-01,
MAP3K1->-PIK3CA,2,1,49.000000,49,3.056387e-02,
PIK3CA->-GATA3,2,1,42.000000,42,2.074622e-01,
TP53->-PTEN,2,1,38.000000,38,1.837092e-05,
GATA3->-PIK3CA,2,1,37.000000,37,6.198510e-01,
PIK3CA->-MAP3K1,2,1,34.000000,34,9.254347e-01,
PIK3CA->-KMT2C,2,1,33.000000,33,3.703744e-02,
CBFB->-PIK3CA,2,1,33.000000,33,2.141094e-06,
TP53->-KMT2C,2,1,30.000000,30,8.766553e-06,
PIK3CA->-CDH1,2,1,29.000000,29,1.000000e+00,
PIK3CA->-FOXA1,2,1,27.000000,27,8.317574e-03,
PIK3CA->-ESR1,2,1,27.000000,27,7.585975e-02,
TP53->-NF1,2,1,27.000000,27,5.579278e-03,
CDH1->-TP53,2,1,26.000000,26,9.940284e-02,
TP53->-MAP3K1,2,1,25.000000,25,4.924668e-05,
TP53->-KMT2D,2,1,24.000000,24,2.681206e-06,
CDH1->-KMT2C,2,1,23.000000,23,3.511761e-04,
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,2.414741e-03,
PIK3CA->-ARID1A,2,1,21.000000,21,1.645077e-01,
TP53->-RB1,2,1,21.000000,21,4.450409e-03,
CBFB->-GATA3,2,1,21.000000,21,2.765062e-04,
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,6.767574e-02,
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,6.000000,6,1.874525e-02,
CDH1->-FOXA1,2,1,19.000000,19,6.925946e-04,
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,3.450441e-04,
KMT2C->-PIK3CA,2,1,19.000000,19,9.781579e-01,
CDH1->-MAP3K1,2,1,19.000000,19,8.852967e-04,
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,1.175986e-03,
PIK3CA->-SF3B1,2,1,19.000000,19,1.700719e-05,
CDH1->-ERBB2,2,1,19.000000,19,6.872626e-02,
PIK3CA->-FAT1,2,1,19.000000,19,1.284035e-03,
AKT1->-TP53,2,1,19.000000,19,5.187176e-05,
TP53->-CDH1,2,1,19.000000,19,7.929528e-01,
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,6.468769e-02,
CDH1->-TBX3,2,1,18.000000,18,2.688476e-02,
TP53->-FAT1,2,1,18.000000,18,6.659087e-05,
TP53->-NCOR1,2,1,18.000000,18,2.910154e-02,
PIK3CA->-RUNX1,2,1,18.000000,18,3.794198e-02,
ESR1->-PIK3CA,2,1,17.000000,17,9.397839e-01,
TP53->-ARID1A,2,1,17.000000,17,1.934150e-03,
TBX3->-PIK3CA,2,1,17.000000,17,2.764199e-01,
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,5.503424e-02,
TP53->-GATA3,2,1,17.000000,17,3.237127e-02,
MAP2K4->-PIK3CA,2,1,17.000000,17,9.968785e-02,
CDH1->-ARID1A,2,1,16.000000,16,1.128177e-02,
CDH1->-ARID1A CDH1->-PIK3CA PIK3CA->-ARID1A,3,3,5.000000,5,6.688018e-02,
NCOR1->-PIK3CA,2,1,16.000000,16,6.239452e-01,
PIK3CA->-NCOR1,2,1,16.000000,16,6.239452e-01,
PIK3CA->-KMT2D,2,1,15.000000,15,1.064923e-02,
PIK3CA->-KMT2D PIK3CA->-TP53 TP53->-KMT2D,3,3,5.000000,5,1.652707e-02,
CDH1->-RUNX1,2,1,15.000000,15,6.469608e-02,
TP53->-ARID2,2,1,15.000000,15,5.538347e-06,
