rank,pvalue,fdr_exp
1,2.541932e-06,0.000000
2,5.628336e-06,0.000250
3,1.119178e-05,0.000167
4,4.999750e-05,0.001625
5,5.046848e-05,0.001300
6,5.073241e-05,0.001083
7,5.272154e-05,0.001000
8,5.437131e-05,0.000875
9,5.474234e-05,0.000778
10,5.671300e-05,0.000700
11,5.836201e-05,0.000682
12,5.978652e-05,0.000625
13,5.995714e-05,0.000577
14,6.002458e-05,0.000536
15,6.189026e-05,0.000533
16,6.308209e-05,0.000562
17,6.961744e-05,0.000706
18,7.099420e-05,0.000694
19,8.066700e-05,0.000816
20,8.526037e-05,0.000850
21,8.580467e-05,0.000810
22,1.255216e-04,0.001977
23,1.357584e-04,0.002196
24,1.851148e-04,0.003187
25,1.999653e-04,0.003360
26,2.095345e-04,0.003442
27,2.121925e-04,0.003352
28,2.400253e-04,0.003732
29,2.441406e-04,0.003690
30,2.449243e-04,0.003567
31,2.450966e-04,0.003452
32,3.053590e-04,0.004422
33,3.082460e-04,0.004333
34,3.130091e-04,0.004279
35,3.157156e-04,0.004200
36,3.366303e-04,0.004458
37,3.604473e-04,0.004865
38,3.703908e-04,0.004895
39,3.803234e-04,0.004962
40,4.236121e-04,0.005325
41,4.695359e-04,0.005768
42,4.937649e-04,0.006060
43,5.125476e-04,0.006000
44,5.908310e-04,0.006614
45,6.117082e-04,0.006811
46,6.404265e-04,0.006902
47,6.913290e-04,0.007319
48,7.275132e-04,0.007698
49,7.866270e-04,0.008173
50,9.428883e-04,0.009660
51,9.490482e-04,0.009725
52,9.700408e-04,0.009856
53,9.976409e-04,0.010038
54,1.017017e-03,0.010167
55,1.029853e-03,0.010100
56,1.152113e-03,0.011384
57,1.386420e-03,0.013860
58,1.803979e-03,0.018086
59,1.833712e-03,0.018237
60,1.889641e-03,0.018750
61,2.084989e-03,0.020385
62,2.146098e-03,0.020694
63,2.173227e-03,0.020825
64,2.190561e-03,0.020641
65,2.212393e-03,0.020438
66,2.382874e-03,0.022076
67,2.411795e-03,0.022119
68,2.446350e-03,0.022132
69,2.545213e-03,0.022478
70,2.593387e-03,0.022450
71,2.663359e-03,0.022817
72,2.708144e-03,0.022840
73,2.742790e-03,0.022849
74,2.782944e-03,0.023122
75,2.970718e-03,0.024900
76,3.003609e-03,0.024855
77,3.008396e-03,0.024552
78,3.045855e-03,0.024449
79,3.155572e-03,0.025228
80,3.355178e-03,0.026919
81,3.411840e-03,0.027253
82,3.607105e-03,0.029366
83,3.637765e-03,0.029512
84,3.751526e-03,0.030173
85,3.895528e-03,0.031035
86,3.998472e-03,0.031506
87,4.047957e-03,0.031431
88,4.057774e-03,0.031114
89,4.148418e-03,0.031230
90,4.200461e-03,0.031533
91,4.200693e-03,0.031187
92,4.250804e-03,0.031228
93,4.317959e-03,0.031344
94,4.633893e-03,0.033261
95,4.906005e-03,0.034805
96,5.222518e-03,0.037328
97,5.265987e-03,0.037510
98,5.485545e-03,0.038898
99,5.910746e-03,0.041793
100,6.016732e-03,0.042110
101,6.027386e-03,0.041748
102,6.345300e-03,0.043225
103,6.469014e-03,0.043524
104,6.546875e-03,0.043764
105,6.573890e-03,0.043595
106,6.875389e-03,0.045113
107,7.061955e-03,0.046075
108,7.078434e-03,0.045787
109,7.176572e-03,0.046142
110,7.493302e-03,0.047859
111,7.837302e-03,0.049482
112,8.084863e-03,0.050299
113,8.273289e-03,0.050925
114,8.305940e-03,0.050702
115,8.833860e-03,0.053004
116,9.141257e-03,0.054599
117,9.198754e-03,0.054701
118,9.302076e-03,0.055055
119,9.471263e-03,0.055483
120,9.657528e-03,0.056271
121,1.003513e-02,0.057860
122,1.010762e-02,0.057967
123,1.015684e-02,0.057951
124,1.076103e-02,0.061621
125,1.105710e-02,0.062820
126,1.116844e-02,0.063325
127,1.124735e-02,0.063268
128,1.164932e-02,0.065926
129,1.170543e-02,0.066547
130,1.222332e-02,0.069215
131,1.225564e-02,0.068855
132,1.227679e-02,0.068625
133,1.233688e-02,0.068688
134,1.240860e-02,0.068526
135,1.282932e-02,0.070559
136,1.305439e-02,0.070735
137,1.388889e-02,0.073876
138,1.401890e-02,0.074362
139,1.404617e-02,0.074014
140,1.409924e-02,0.073936
141,1.427045e-02,0.074149
142,1.523567e-02,0.077901
143,1.535773e-02,0.078343
144,1.540150e-02,0.077951
145,1.547965e-02,0.077724
146,1.555887e-02,0.077469
147,1.562500e-02,0.078663
148,1.600213e-02,0.079845
149,1.632979e-02,0.081047
150,1.655283e-02,0.081413
151,1.674604e-02,0.081854
152,1.748483e-02,0.084720
153,1.830220e-02,0.088425
154,1.841723e-02,0.088263
155,1.868477e-02,0.088665
156,1.876563e-02,0.088609
157,1.894401e-02,0.089111
158,1.932951e-02,0.090139
159,1.946152e-02,0.090113
160,1.978318e-02,0.090600
161,1.988751e-02,0.090612
162,2.083333e-02,0.093744
163,2.093562e-02,0.093414
164,2.107605e-02,0.093692
165,2.157080e-02,0.094897
166,2.218995e-02,0.097831
167,2.262117e-02,0.098904
168,2.266153e-02,0.098402
169,2.267077e-02,0.097825
170,2.328940e-02,0.100000
171,2.337963e-02,0.100556
172,2.349682e-02,0.100512
173,2.438485e-02,0.102685
174,2.500122e-02,0.104440
175,2.513021e-02,0.104374
176,2.526320e-02,0.104864
177,2.537841e-02,0.104576
178,2.638271e-02,0.106604
179,2.660544e-02,0.106561
180,2.688746e-02,0.107911
181,2.704923e-02,0.108122
182,2.722222e-02,0.108945
183,2.730212e-02,0.108511
184,2.822839e-02,0.110576
185,2.844628e-02,0.111000
186,2.901369e-02,0.112191
187,2.918359e-02,0.112393
188,2.944010e-02,0.112529
189,2.974237e-02,0.113058
190,2.986737e-02,0.112708
191,3.113678e-02,0.116476
192,3.125000e-02,0.117712
193,3.125000e-02,0.117712
194,3.247770e-02,0.121363
195,3.337451e-02,0.123928
196,3.344390e-02,0.123503
197,3.390724e-02,0.124558
198,3.446978e-02,0.125199
199,3.459955e-02,0.125015
200,3.534375e-02,0.126372
201,3.687940e-02,0.129697
202,3.769156e-02,0.131658
203,3.835803e-02,0.133281
204,3.934152e-02,0.135196
205,3.999772e-02,0.136639
206,4.050104e-02,0.137214
207,4.252870e-02,0.143002
208,4.292215e-02,0.144161
209,4.312656e-02,0.144531
210,4.428563e-02,0.146714
211,4.470299e-02,0.147159
212,4.719036e-02,0.153847
213,4.767838e-02,0.155056
214,4.778698e-02,0.154512
215,4.872577e-02,0.157626
216,4.881764e-02,0.157125
217,4.895833e-02,0.157113
218,4.994083e-02,0.158640
219,5.305696e-02,0.165404
220,5.343676e-02,0.165711
221,5.440115e-02,0.168204
222,5.468750e-02,0.168768
223,5.549814e-02,0.169868
224,5.564728e-02,0.169571
225,5.718865e-02,0.172142
226,5.730639e-02,0.171876
227,5.827863e-02,0.172645
228,5.979235e-02,0.175276
229,6.250000e-02,0.182972
230,6.256700e-02,0.182274
231,6.414144e-02,0.184450
232,6.557641e-02,0.186810
233,7.794111e-02,0.211260
234,7.802345e-02,0.210476
235,7.906714e-02,0.214317
236,8.069008e-02,0.216061
237,8.112323e-02,0.216215
238,8.144473e-02,0.216204
239,8.244048e-02,0.219238
240,8.313127e-02,0.220327
241,8.415737e-02,0.221334
242,8.426339e-02,0.221169
243,8.575165e-02,0.222591
244,8.692153e-02,0.224232
245,8.943383e-02,0.229886
246,9.005800e-02,0.230272
247,9.077381e-02,0.230834
248,9.205525e-02,0.232651
249,9.299363e-02,0.234223
250,9.327548e-02,0.233778
251,9.351367e-02,0.233203
252,9.417361e-02,0.233359
253,9.438626e-02,0.232881
254,9.502181e-02,0.233612
255,9.543587e-02,0.233657
256,9.762739e-02,0.236395
257,9.772565e-02,0.235652
258,1.032414e-01,0.244593
259,1.138781e-01,0.262230
260,1.222315e-01,0.276948
261,1.275365e-01,0.285372
262,1.307162e-01,0.290349
263,1.378255e-01,0.304027
264,1.387067e-01,0.305625
265,1.398810e-01,0.307521
266,1.457385e-01,0.319622
267,1.551487e-01,0.332845
268,1.591306e-01,0.337778
269,1.601856e-01,0.338154
270,1.631537e-01,0.342043
271,1.755325e-01,0.354387
272,1.766225e-01,0.355059
273,1.766493e-01,0.354667
274,1.875000e-01,0.371487
275,1.877697e-01,0.370333
276,1.933664e-01,0.376364
277,2.014214e-01,0.387491
278,2.046770e-01,0.391165
279,2.091000e-01,0.395826
280,2.093183e-01,0.394579
281,2.113780e-01,0.396146
282,2.132911e-01,0.397273
283,2.217786e-01,0.407468
284,2.238970e-01,0.410183
285,2.255287e-01,0.411425
286,2.315807e-01,0.416724
287,2.345517e-01,0.417937
288,2.408561e-01,0.426634
289,2.415905e-01,0.426315
290,2.423364e-01,0.426276
291,2.491558e-01,0.430483
292,2.542052e-01,0.436087
293,2.587868e-01,0.439920
294,2.605400e-01,0.441621
295,2.614315e-01,0.441890
296,2.651837e-01,0.445478
297,2.724762e-01,0.453581
298,2.763250e-01,0.457279
299,2.937679e-01,0.474346
300,3.061558e-01,0.486648
301,3.124366e-01,0.492571
302,3.496015e-01,0.527118
303,3.555519e-01,0.530743
304,3.604543e-01,0.535127
305,3.632812e-01,0.539684
306,3.689004e-01,0.543998
307,3.701415e-01,0.543448
308,3.728093e-01,0.544341
309,3.729821e-01,0.542704
310,3.735155e-01,0.541745
311,3.825751e-01,0.548830
312,3.882851e-01,0.552809
313,4.433479e-01,0.600819
314,4.459399e-01,0.601427
315,4.512370e-01,0.604643
316,5.065309e-01,0.647783
317,5.192345e-01,0.654002
318,5.209208e-01,0.653360
319,5.273173e-01,0.655224
320,5.285916e-01,0.654462
321,5.481129e-01,0.665827
322,5.541182e-01,0.670658
323,5.597072e-01,0.672785
324,5.795773e-01,0.684461
325,5.820975e-01,0.685160
326,5.870949e-01,0.687218
327,6.033088e-01,0.694431
328,6.101552e-01,0.695495
329,6.161845e-01,0.698809
330,6.186893e-01,0.697718
331,6.194849e-01,0.696101
332,6.267959e-01,0.698166
333,6.485361e-01,0.709132
334,6.571893e-01,0.714190
335,6.771554e-01,0.721281
336,6.782356e-01,0.719938
337,6.859598e-01,0.722955
338,6.911444e-01,0.723379
339,7.268906e-01,0.738917
340,7.507148e-01,0.750684
341,8.044050e-01,0.771424
342,8.054425e-01,0.771230
343,8.537496e-01,0.790453
344,8.608287e-01,0.791453
345,8.706096e-01,0.793020
346,8.764595e-01,0.794262
347,8.866956e-01,0.795134
348,9.194108e-01,0.805336
349,9.208452e-01,0.803554
350,9.301807e-01,0.803343
351,9.335574e-01,0.802573
352,9.515270e-01,0.807114
353,9.556737e-01,0.806163
354,9.556983e-01,0.803907
355,9.560780e-01,0.801817
356,9.656254e-01,0.802156
357,9.755333e-01,0.803218
358,9.778215e-01,0.801577
359,9.797809e-01,0.799798
360,9.822548e-01,0.798379
361,9.824604e-01,0.796319
362,9.826588e-01,0.794271
363,9.845742e-01,0.792515
364,9.896161e-01,0.791511
365,9.921106e-01,0.789967
366,9.925113e-01,0.787940
367,9.990223e-01,0.787007
368,9.993883e-01,0.784929
369,9.998131e-01,0.782866
370,9.998679e-01,0.780757
371,9.999960e-01,0.778667
372,1.000000e+00,0.776574
