rank,pvalue,fdr_theta
1,4.937239e-06,0.000000
2,5.274430e-06,0.000000
3,6.426710e-06,0.000000
4,4.999750e-05,0.001250
5,5.030006e-05,0.001000
6,5.070335e-05,0.000833
7,5.327364e-05,0.000714
8,5.365478e-05,0.000625
9,5.390463e-05,0.000556
10,5.832867e-05,0.000500
11,6.076730e-05,0.000455
12,6.440782e-05,0.000417
13,7.966427e-05,0.000615
14,1.033851e-04,0.001107
15,1.057801e-04,0.001033
16,1.091260e-04,0.001063
17,1.219151e-04,0.001382
18,1.457512e-04,0.001750
19,1.638004e-04,0.001789
20,1.799720e-04,0.001975
21,1.971570e-04,0.002238
22,2.061855e-04,0.002227
23,2.172281e-04,0.002217
24,2.397741e-04,0.002417
25,2.441406e-04,0.002360
26,2.497427e-04,0.002288
27,2.694628e-04,0.002519
28,2.781223e-04,0.002696
29,2.802340e-04,0.002741
30,2.976003e-04,0.002867
31,3.052904e-04,0.002903
32,3.119012e-04,0.002906
33,3.154705e-04,0.002848
34,3.158045e-04,0.002765
35,3.598315e-04,0.003214
36,4.642480e-04,0.004167
37,5.513960e-04,0.004541
38,5.688474e-04,0.004632
39,7.275132e-04,0.006000
40,7.845993e-04,0.006075
41,8.281338e-04,0.006110
42,9.455568e-04,0.007012
43,9.720496e-04,0.007105
44,9.927250e-04,0.007239
45,9.995909e-04,0.007122
46,1.141376e-03,0.007913
47,1.287055e-03,0.009149
48,1.373849e-03,0.009573
49,1.378319e-03,0.009378
50,1.436355e-03,0.009470
51,1.488062e-03,0.009686
52,1.541834e-03,0.010029
53,1.743673e-03,0.011509
54,1.829209e-03,0.012352
55,1.884290e-03,0.012609
56,1.890726e-03,0.012402
57,1.973291e-03,0.012772
58,2.025425e-03,0.012991
59,2.072731e-03,0.012958
60,2.086414e-03,0.012775
61,2.122676e-03,0.012803
62,2.256458e-03,0.013629
63,2.281707e-03,0.013587
64,2.292598e-03,0.013469
65,2.297726e-03,0.013323
66,2.324874e-03,0.013348
67,2.420032e-03,0.013799
68,2.471470e-03,0.013765
69,2.556370e-03,0.014029
70,2.742790e-03,0.015279
71,2.749863e-03,0.015289
72,2.843015e-03,0.015431
73,2.906921e-03,0.015541
74,3.093787e-03,0.016432
75,3.281062e-03,0.017593
76,3.341755e-03,0.017816
77,3.627051e-03,0.019227
78,3.950870e-03,0.020859
79,4.056110e-03,0.021120
80,4.696771e-03,0.024306
81,4.705079e-03,0.024062
82,5.077715e-03,0.025689
83,5.141733e-03,0.025759
84,5.221916e-03,0.026167
85,5.232328e-03,0.026212
86,5.282738e-03,0.026157
87,5.955071e-03,0.029057
88,6.105587e-03,0.029415
89,6.164496e-03,0.029528
90,6.345300e-03,0.030272
91,6.555297e-03,0.030665
92,6.754806e-03,0.031467
93,7.094989e-03,0.032968
94,7.581008e-03,0.035856
95,8.081194e-03,0.037342
96,8.509987e-03,0.038979
97,8.788973e-03,0.039433
98,8.890031e-03,0.039403
99,8.899795e-03,0.039051
100,9.029135e-03,0.039525
101,9.160497e-03,0.039550
102,1.015684e-02,0.045446
103,1.023449e-02,0.045257
104,1.032976e-02,0.045216
105,1.072233e-02,0.046438
106,1.124239e-02,0.048467
107,1.149561e-02,0.049117
108,1.172242e-02,0.050921
109,1.210877e-02,0.052032
110,1.227679e-02,0.052355
111,1.240320e-02,0.052649
112,1.240563e-02,0.052183
113,1.284771e-02,0.053619
114,1.347065e-02,0.055404
115,1.359061e-02,0.055235
116,1.388889e-02,0.055909
117,1.421775e-02,0.056556
118,1.426408e-02,0.056271
119,1.439393e-02,0.056298
120,1.469703e-02,0.056767
121,1.517213e-02,0.057781
122,1.551696e-02,0.059484
123,1.562500e-02,0.060980
124,1.619204e-02,0.063391
125,1.627106e-02,0.063088
126,1.630644e-02,0.062698
127,1.638425e-02,0.062492
128,1.641400e-02,0.062105
129,1.656940e-02,0.062275
130,1.685680e-02,0.063923
131,1.691506e-02,0.063725
132,1.743046e-02,0.065466
133,1.785974e-02,0.066951
134,1.883533e-02,0.070108
135,1.908461e-02,0.070307
136,1.958569e-02,0.070710
137,1.984151e-02,0.070675
138,2.004774e-02,0.070565
139,2.022421e-02,0.070514
140,2.083333e-02,0.072300
141,2.149893e-02,0.073333
142,2.201968e-02,0.077535
143,2.322917e-02,0.082276
144,2.328391e-02,0.082003
145,2.340278e-02,0.081990
146,2.340485e-02,0.081438
147,2.388424e-02,0.083558
148,2.482515e-02,0.084993
149,2.543425e-02,0.085977
150,2.603769e-02,0.086573
151,2.631592e-02,0.086632
152,2.632392e-02,0.086326
153,2.651791e-02,0.086016
154,2.688746e-02,0.087633
155,2.722222e-02,0.088252
156,2.781935e-02,0.089426
157,2.784469e-02,0.089172
158,2.809012e-02,0.089199
159,2.827233e-02,0.088925
160,2.928105e-02,0.090737
161,2.965283e-02,0.091295
162,2.992653e-02,0.091052
163,3.113678e-02,0.093982
164,3.125000e-02,0.095373
165,3.125000e-02,0.095373
166,3.158782e-02,0.096310
167,3.159765e-02,0.095763
168,3.218652e-02,0.098640
169,3.231770e-02,0.098997
170,3.294659e-02,0.100188
171,3.295906e-02,0.099617
172,3.356540e-02,0.101128
173,3.422120e-02,0.101806
174,3.459826e-02,0.101885
175,3.462910e-02,0.101369
176,3.570988e-02,0.104739
177,3.583396e-02,0.104463
178,3.595240e-02,0.104256
179,3.709728e-02,0.106824
180,3.824651e-02,0.108269
181,3.889509e-02,0.109210
182,3.929527e-02,0.108887
183,3.949024e-02,0.108754
184,3.954581e-02,0.108762
185,3.954581e-02,0.108762
186,4.070058e-02,0.110747
187,4.214683e-02,0.114243
188,4.218672e-02,0.113702
189,4.271051e-02,0.115079
190,4.315348e-02,0.115905
191,4.460060e-02,0.118003
192,4.483493e-02,0.118174
193,4.537245e-02,0.118409
194,4.652778e-02,0.121515
195,4.688037e-02,0.122315
196,4.816558e-02,0.124367
197,4.961601e-02,0.126051
198,5.107323e-02,0.128861
199,5.150460e-02,0.129080
200,5.155202e-02,0.128513
201,5.185640e-02,0.129040
202,5.318000e-02,0.132020
203,5.380456e-02,0.133421
204,5.859205e-02,0.139301
205,5.859936e-02,0.139027
206,5.902576e-02,0.139784
207,5.909718e-02,0.139353
208,5.981337e-02,0.140700
209,6.188629e-02,0.145651
210,6.396130e-02,0.148614
211,6.408020e-02,0.148085
212,6.562009e-02,0.150540
213,7.181846e-02,0.159505
214,7.239291e-02,0.160631
215,7.548877e-02,0.164079
216,7.640094e-02,0.163567
217,7.819228e-02,0.169618
218,8.063035e-02,0.170938
219,8.123381e-02,0.172304
220,8.219094e-02,0.174407
221,8.237492e-02,0.174871
222,8.265772e-02,0.175081
223,8.426339e-02,0.176827
224,8.574383e-02,0.177290
225,8.723567e-02,0.178604
226,8.782993e-02,0.179126
227,8.832605e-02,0.180013
228,8.846746e-02,0.179529
229,8.903885e-02,0.180766
230,8.959378e-02,0.180848
231,9.077381e-02,0.181526
232,9.401608e-02,0.187304
233,9.508773e-02,0.188365
234,9.643960e-02,0.189722
235,1.048777e-01,0.200777
236,1.081852e-01,0.204871
237,1.104569e-01,0.212726
238,1.135208e-01,0.218968
239,1.188155e-01,0.224552
240,1.205830e-01,0.226887
241,1.231920e-01,0.231929
242,1.235521e-01,0.231742
243,1.250992e-01,0.236691
244,1.253737e-01,0.236787
245,1.282115e-01,0.241378
246,1.314484e-01,0.245748
247,1.347152e-01,0.248887
248,1.423026e-01,0.260179
249,1.429102e-01,0.261799
250,1.433332e-01,0.262092
251,1.468750e-01,0.267639
252,1.529222e-01,0.274474
253,1.571592e-01,0.276941
254,1.583121e-01,0.277445
255,1.646744e-01,0.284761
256,1.692013e-01,0.290189
257,1.714698e-01,0.291543
258,1.747591e-01,0.296248
259,1.758014e-01,0.297477
260,1.866230e-01,0.308333
261,1.875000e-01,0.309865
262,1.875000e-01,0.309865
263,1.887882e-01,0.309200
264,1.919209e-01,0.311973
265,1.947212e-01,0.318066
266,1.948343e-01,0.317009
267,1.969253e-01,0.319438
268,2.051389e-01,0.327364
269,2.056711e-01,0.327113
270,2.076074e-01,0.329811
271,2.098477e-01,0.332419
272,2.117755e-01,0.333180
273,2.268278e-01,0.345478
274,2.277170e-01,0.344460
275,2.292993e-01,0.347165
276,2.298210e-01,0.347129
277,2.365232e-01,0.358312
278,2.377455e-01,0.359977
279,2.541004e-01,0.373984
280,2.592214e-01,0.381452
281,2.608923e-01,0.381731
282,2.635910e-01,0.384300
283,2.715326e-01,0.389242
284,2.873765e-01,0.401699
285,2.888719e-01,0.401721
286,2.907378e-01,0.402476
287,3.026778e-01,0.413840
288,3.114859e-01,0.422458
289,3.193359e-01,0.432863
290,3.322130e-01,0.447567
291,3.346255e-01,0.447462
292,3.469019e-01,0.455284
293,3.619172e-01,0.476268
294,3.628216e-01,0.475692
295,3.632812e-01,0.476080
296,3.664417e-01,0.479873
297,3.675928e-01,0.480444
298,3.756896e-01,0.486636
299,3.929027e-01,0.501020
300,3.945352e-01,0.501087
301,4.173358e-01,0.516400
302,4.498698e-01,0.549142
303,4.804411e-01,0.569513
304,4.850489e-01,0.571271
305,4.884357e-01,0.573964
306,4.887803e-01,0.572598
307,4.995384e-01,0.578831
308,5.038092e-01,0.578308
309,5.045669e-01,0.576733
310,5.080297e-01,0.577771
311,5.124955e-01,0.580154
312,5.155466e-01,0.580330
313,5.161166e-01,0.578677
314,5.207764e-01,0.583739
315,5.492440e-01,0.602962
316,5.596228e-01,0.611847
317,5.635934e-01,0.615270
318,5.739766e-01,0.619631
319,5.913524e-01,0.626288
320,6.128958e-01,0.639995
321,6.187433e-01,0.643103
322,6.415971e-01,0.659418
323,6.585908e-01,0.667658
324,6.636841e-01,0.667111
325,6.754059e-01,0.674252
326,6.972800e-01,0.686848
327,7.211612e-01,0.696797
328,7.281208e-01,0.699652
329,7.377778e-01,0.707521
330,7.738408e-01,0.724006
331,7.940931e-01,0.729050
332,8.006303e-01,0.729343
333,8.022943e-01,0.729709
334,8.320962e-01,0.748305
335,8.458055e-01,0.752527
336,8.592867e-01,0.757879
337,8.662915e-01,0.758859
338,8.902043e-01,0.765531
339,9.079802e-01,0.771153
340,9.164945e-01,0.773743
341,9.204723e-01,0.773509
342,9.358279e-01,0.777670
343,9.410277e-01,0.778614
344,9.531604e-01,0.780872
345,9.542701e-01,0.779303
346,9.642656e-01,0.781738
347,9.657363e-01,0.780184
348,9.658789e-01,0.778159
349,9.747526e-01,0.779249
350,9.765603e-01,0.778120
351,9.772924e-01,0.776162
352,9.785376e-01,0.774129
353,9.789317e-01,0.772273
354,9.842591e-01,0.771921
