resample,min_pval_exp,min_pval_theta
0,2.351031e-03,1.063461e-02
1,3.206384e-03,4.215501e-03
2,3.045934e-03,3.045934e-03
3,5.425861e-04,3.226508e-03
4,4.910714e-03,4.910714e-03
5,4.755373e-04,1.409199e-03
6,1.576237e-03,1.204607e-03
7,6.117082e-04,5.688474e-04
8,4.780366e-04,3.826684e-03
9,4.408278e-04,2.866610e-03
10,2.463815e-03,5.426182e-03
11,5.480865e-03,4.497060e-03
12,1.879691e-03,1.879691e-03
13,2.019898e-03,7.890810e-03
14,1.960382e-03,1.929592e-03
15,3.544296e-04,3.544045e-04
16,4.474493e-04,4.464969e-04
17,1.894968e-03,6.388399e-03
18,1.714678e-05,1.714678e-05
19,2.609767e-04,1.855845e-03
20,3.826684e-03,3.826684e-03
21,1.139548e-04,1.122426e-04
22,6.017116e-04,5.935146e-04
23,1.785677e-04,1.534861e-04
24,2.068960e-03,4.055040e-03
25,1.092119e-03,8.956639e-04
26,1.613371e-03,2.986111e-03
27,1.566656e-04,1.566656e-04
28,8.428590e-05,2.733524e-04
29,9.430518e-04,2.203062e-03
30,3.105672e-04,2.905477e-04
31,3.482141e-04,1.686575e-03
32,1.526585e-03,2.018585e-03
33,5.608555e-03,1.091668e-02
34,1.223058e-03,4.710220e-03
35,1.802800e-03,2.165822e-03
36,5.469962e-03,1.826089e-02
37,4.682508e-04,4.682508e-04
38,7.339211e-05,1.178763e-04
39,2.156413e-03,2.108291e-03
40,7.498605e-03,9.310647e-03
41,1.235142e-03,1.460165e-03
42,4.495414e-03,6.915843e-03
43,4.222230e-04,3.021578e-04
44,4.150796e-03,4.166667e-03
45,1.346290e-03,2.212627e-03
46,2.067858e-03,2.020876e-03
47,1.263449e-03,1.263449e-03
48,3.021158e-03,6.570609e-03
49,1.318342e-03,1.478600e-03
50,1.916310e-04,1.864249e-04
51,1.096781e-03,5.558170e-03
52,8.186613e-04,3.355600e-03
53,8.036681e-04,1.169792e-03
54,1.840973e-04,1.811504e-04
55,1.499148e-03,1.499148e-03
56,2.338437e-04,2.338437e-04
57,2.608706e-03,2.566844e-03
58,1.201640e-03,2.165822e-03
59,1.025105e-03,4.982474e-03
60,2.379960e-03,2.379960e-03
61,3.359467e-03,2.839964e-03
62,6.546875e-03,6.105587e-03
63,1.260394e-03,2.963385e-03
64,2.032398e-03,2.988250e-03
65,2.188215e-03,5.225955e-03
66,9.834123e-04,2.392707e-03
67,2.971532e-03,6.242637e-03
68,6.110591e-04,2.880674e-03
69,5.198886e-04,3.710987e-04
70,1.745087e-03,1.595067e-03
71,1.915520e-03,7.437712e-03
72,1.259611e-04,6.528478e-04
73,4.881587e-04,4.565995e-04
74,2.749299e-03,4.698930e-03
75,1.313750e-03,1.101124e-03
76,8.395202e-04,4.111815e-03
77,2.862758e-04,2.768986e-04
78,8.535801e-04,3.906250e-03
79,1.543174e-03,1.830818e-03
80,1.039600e-03,7.189962e-03
81,5.876442e-03,1.383399e-02
82,5.715123e-04,1.292727e-03
83,1.709895e-03,3.196429e-03
84,3.277561e-04,6.152948e-04
85,1.557795e-04,4.628088e-04
86,1.932633e-03,2.252848e-03
87,9.114141e-04,2.666877e-03
88,2.956814e-03,9.199735e-03
89,1.226170e-03,1.226170e-03
90,1.861052e-03,1.761633e-03
91,5.987335e-04,1.286070e-03
92,3.871110e-03,3.356285e-03
93,1.050100e-03,1.050100e-03
