dataset,min_pval_exp,min_pval_theta
0,5.253636e-04,5.731423e-04
1,4.035692e-04,4.035692e-04
2,3.954179e-04,3.954179e-04
3,3.527713e-04,3.527713e-04
4,3.501055e-04,3.501055e-04
5,3.498834e-04,3.498834e-04
6,5.553704e-04,5.553704e-04
7,4.513370e-04,4.855687e-04
8,4.782517e-05,4.782517e-05
9,3.707653e-04,3.707653e-04
10,4.782517e-05,4.782517e-05
11,5.491996e-04,5.491996e-04
12,3.753379e-04,3.753379e-04
13,6.939909e-04,7.073045e-04
14,4.083083e-04,4.083083e-04
15,2.893519e-04,2.893519e-04
16,6.944444e-05,6.944444e-05
17,3.345551e-04,3.345551e-04
18,5.252082e-04,6.200397e-04
19,2.847447e-04,4.720649e-04
20,6.944444e-05,6.944444e-05
21,2.104469e-04,2.104469e-04
22,5.787037e-04,5.787037e-04
23,5.661232e-04,5.661232e-04
24,3.908546e-04,3.915362e-04
25,3.872043e-04,3.872043e-04
26,4.782517e-05,4.782517e-05
27,4.782517e-05,4.782517e-05
28,4.042871e-04,4.042871e-04
29,7.937356e-04,7.937356e-04
30,3.734205e-04,3.734205e-04
31,3.345551e-04,3.345551e-04
32,4.938272e-04,4.938272e-04
33,4.782517e-05,4.782517e-05
34,2.104469e-04,2.104469e-04
35,3.882039e-04,3.882039e-04
36,3.652116e-04,3.652116e-04
37,3.637676e-04,3.637676e-04
38,3.853654e-04,3.853654e-04
39,4.814954e-04,4.822531e-04
40,7.190136e-04,7.190136e-04
41,3.752944e-04,3.752944e-04
42,3.897392e-04,3.897392e-04
43,6.044607e-04,6.044607e-04
44,5.787037e-04,5.787037e-04
45,3.836687e-04,3.879818e-04
46,4.782517e-05,4.782517e-05
47,9.736801e-04,1.073716e-03
48,1.027435e-03,1.027435e-03
49,5.053588e-04,5.053588e-04
50,9.195665e-04,9.195665e-04
51,2.893519e-04,2.893519e-04
52,3.665445e-04,3.665445e-04
53,2.647118e-04,2.647118e-04
54,3.867686e-04,3.867686e-04
55,3.865378e-04,3.865378e-04
56,7.233796e-05,7.233796e-05
57,2.893519e-04,2.893519e-04
58,4.782517e-05,4.782517e-05
59,3.662113e-04,3.662113e-04
60,3.337776e-04,3.337776e-04
61,3.817616e-04,3.817616e-04
62,3.996446e-04,3.996446e-04
63,3.998667e-04,3.998667e-04
64,6.944444e-05,6.944444e-05
65,3.965345e-04,3.965345e-04
66,3.678774e-04,3.678774e-04
67,6.283069e-05,6.283069e-05
68,3.766522e-04,3.766522e-04
69,3.488421e-04,3.488421e-04
70,3.858025e-04,5.109598e-04
71,3.822059e-04,3.822059e-04
72,4.169721e-04,4.169721e-04
73,3.532156e-04,3.532156e-04
74,4.859491e-04,4.859491e-04
75,3.772068e-04,3.772068e-04
76,5.363509e-04,5.363509e-04
77,4.054204e-04,4.054204e-04
78,3.792069e-04,3.792069e-04
79,3.518827e-04,3.518827e-04
80,4.782517e-05,4.782517e-05
81,7.076540e-05,7.076540e-05
82,2.555598e-04,3.996446e-04
83,6.944444e-05,6.944444e-05
84,3.838720e-04,3.838720e-04
85,4.782517e-05,4.782517e-05
86,4.026436e-04,4.026436e-04
87,3.915362e-04,3.915362e-04
88,2.536294e-04,2.536294e-04
89,3.498834e-04,3.498834e-04
90,3.785969e-04,4.026436e-04
91,3.401724e-04,3.401724e-04
92,3.936466e-04,3.936466e-04
93,9.038017e-04,1.055204e-03
94,3.521049e-04,3.521049e-04
95,3.938687e-04,3.938687e-04
96,7.023849e-04,7.404939e-04
97,5.331556e-04,5.331556e-04
98,3.996446e-04,3.996446e-04
99,4.782517e-05,4.782517e-05
100,7.320893e-04,7.320893e-04
101,2.314815e-04,2.314815e-04
102,4.782517e-05,4.782517e-05
103,3.776790e-04,3.776790e-04
104,6.271243e-04,6.271243e-04
105,3.648165e-04,3.648165e-04
106,3.845385e-04,3.845385e-04
107,4.065312e-04,4.065312e-04
108,4.782517e-05,4.782517e-05
109,3.722093e-04,3.722093e-04
110,2.539005e-04,3.582139e-04
111,3.732089e-04,3.732089e-04
112,3.654337e-04,3.654337e-04
113,3.792069e-04,3.792069e-04
114,4.111963e-04,4.111963e-04
115,3.754304e-04,3.754304e-04
116,3.996446e-04,3.996446e-04
117,3.334444e-04,3.334444e-04
118,3.359991e-04,3.359991e-04
119,3.887593e-04,3.887593e-04
120,6.482174e-05,6.482174e-05
121,4.054204e-04,4.054204e-04
122,9.347481e-04,9.203953e-04
123,4.782517e-05,4.782517e-05
124,3.887593e-04,3.887593e-04
125,3.515495e-04,3.515495e-04
126,2.314815e-04,2.314815e-04
127,4.782517e-05,4.782517e-05
128,4.687722e-04,4.687722e-04
129,4.782517e-05,4.782517e-05
130,6.944444e-05,6.944444e-05
131,8.680556e-04,8.680556e-04
132,4.782517e-05,4.782517e-05
133,2.411265e-05,2.411265e-05
134,1.416618e-04,3.687660e-04
135,4.822531e-04,4.822531e-04
136,4.235764e-04,1.051205e-03
137,3.887593e-04,3.887593e-04
138,2.314815e-04,2.314815e-04
139,4.473324e-04,1.080256e-03
140,7.755568e-04,9.024770e-04
141,5.017162e-05,5.017162e-05
142,3.487726e-04,3.487726e-04
143,3.341109e-04,3.341109e-04
144,3.927262e-04,3.927262e-04
145,3.822059e-04,3.822059e-04
146,3.582139e-04,3.582139e-04
147,3.687660e-04,3.687660e-04
148,6.283069e-05,6.283069e-05
149,4.998334e-04,4.998334e-04
150,3.894257e-04,3.894257e-04
151,3.842053e-04,3.842053e-04
152,3.785405e-04,3.785405e-04
153,1.364087e-05,1.364087e-05
154,4.472434e-04,7.233796e-04
155,2.314815e-04,2.314815e-04
156,5.488541e-04,5.661232e-04
157,3.472222e-04,3.472222e-04
158,3.438854e-04,3.438854e-04
159,1.984127e-05,1.984127e-05
160,5.236553e-04,5.236553e-04
161,4.982642e-04,4.982642e-04
162,3.962013e-04,3.962013e-04
163,6.664445e-04,6.664445e-04
164,2.893519e-04,2.893519e-04
165,3.471065e-04,3.471065e-04
166,3.859825e-04,3.859825e-04
167,3.722093e-04,3.722093e-04
168,3.887593e-04,3.887593e-04
169,3.970899e-04,3.970899e-04
170,7.716049e-04,7.716049e-04
171,3.401724e-04,3.401724e-04
172,3.698767e-04,3.698767e-04
173,3.612129e-04,3.612129e-04
174,3.619078e-04,3.619078e-04
175,3.485505e-04,3.485505e-04
176,1.012731e-04,3.472176e-04
177,3.793489e-04,3.793489e-04
178,4.016439e-04,4.016439e-04
179,3.972009e-04,3.972009e-04
180,3.527713e-04,3.527713e-04
181,3.794291e-04,3.794291e-04
182,3.493280e-04,3.493280e-04
183,6.944444e-05,6.944444e-05
184,4.073087e-04,4.073087e-04
185,4.008664e-04,4.008664e-04
186,8.631631e-05,8.631631e-05
187,4.405339e-04,7.499643e-04
188,3.925057e-04,3.925057e-04
189,3.798734e-04,3.798734e-04
190,3.747640e-04,3.747640e-04
191,4.034339e-04,6.247917e-04
192,6.283069e-05,6.283069e-05
193,3.967566e-04,3.967566e-04
194,3.306878e-04,3.306878e-04
195,6.824392e-04,1.041320e-03
196,4.643194e-04,4.643194e-04
197,3.542851e-04,3.542851e-04
198,3.565478e-04,3.565478e-04
199,6.944444e-05,6.944444e-05
200,6.944444e-05,6.944444e-05
201,3.401724e-04,3.401724e-04
202,7.569570e-04,9.195665e-04
203,2.502770e-04,2.502770e-04
204,3.609908e-04,3.609908e-04
205,5.137176e-04,5.137176e-04
206,3.752083e-04,3.752083e-04
207,3.545485e-04,3.545485e-04
