dataset,min_pval_exp,min_pval_theta
0,8.908325e-04,8.908325e-04
1,4.950731e-04,4.950731e-04
2,2.164502e-03,2.164502e-03
3,1.924139e-03,1.924139e-03
4,1.147741e-03,1.147741e-03
5,2.225048e-03,2.225048e-03
6,5.232862e-04,5.232862e-04
7,4.517013e-03,4.517013e-03
8,2.231102e-03,2.231102e-03
9,2.614379e-04,2.614379e-04
10,5.965463e-03,5.965463e-03
11,5.767184e-03,5.767184e-03
12,6.831793e-04,6.831793e-04
13,4.503993e-04,4.503993e-04
14,3.030303e-03,3.030303e-03
15,3.111472e-03,3.111472e-03
16,7.120153e-04,7.120153e-04
17,2.155817e-03,2.155817e-03
18,9.386797e-04,9.386797e-04
19,2.466422e-03,2.466422e-03
20,5.197184e-04,5.197184e-04
21,9.669937e-04,9.669937e-04
22,1.799400e-03,1.799400e-03
23,8.247114e-04,8.247114e-04
24,3.665445e-04,3.665445e-04
25,4.913076e-03,5.931356e-03
26,3.229693e-03,3.229693e-03
27,1.858350e-03,1.858350e-03
28,2.332102e-03,2.332102e-03
29,2.689268e-04,2.689268e-04
30,2.135775e-03,2.135775e-03
31,4.950731e-04,4.950731e-04
32,2.594628e-03,2.594628e-03
33,3.095938e-03,3.095938e-03
34,7.433420e-04,7.433420e-04
35,1.263393e-03,1.263393e-03
36,9.451395e-04,9.451395e-04
37,5.952381e-03,5.952381e-03
38,5.194805e-03,5.194805e-03
39,5.194805e-03,5.194805e-03
40,4.482022e-03,4.482022e-03
41,8.137317e-03,8.137317e-03
42,5.654210e-04,5.654210e-04
43,4.610564e-04,4.610564e-04
44,1.948069e-03,1.948069e-03
45,1.045003e-03,1.045003e-03
46,3.635152e-04,3.635152e-04
47,8.737429e-04,2.135775e-03
48,2.594628e-03,2.594628e-03
49,9.324009e-04,9.324009e-04
50,2.691768e-03,2.691768e-03
51,1.082251e-03,1.082251e-03
52,1.254791e-03,1.254791e-03
53,2.058528e-04,2.058528e-04
54,1.159951e-03,1.159951e-03
55,6.862745e-04,6.862745e-04
56,8.829554e-05,8.829554e-05
57,5.988766e-04,5.988766e-04
58,4.812574e-03,4.812574e-03
59,2.535285e-03,2.535285e-03
60,2.718090e-03,2.718090e-03
61,4.636550e-03,4.636550e-03
62,2.886003e-04,2.886003e-04
63,6.188413e-04,6.188413e-04
64,7.116857e-03,7.116857e-03
65,3.116883e-03,3.116883e-03
66,2.777778e-03,2.777778e-03
67,9.183673e-03,9.183673e-03
68,3.867737e-03,3.867737e-03
69,6.081306e-04,6.081306e-04
70,5.164945e-04,5.164945e-04
71,6.862745e-04,6.862745e-04
72,4.978355e-04,4.978355e-04
73,1.538974e-03,1.538974e-03
74,4.142683e-04,4.142683e-04
75,4.812574e-03,4.812574e-03
76,5.459167e-04,5.459167e-04
77,2.254690e-04,2.254690e-04
78,5.999221e-04,5.999221e-04
79,2.828283e-03,2.828283e-03
80,1.619343e-03,1.619343e-03
81,1.403454e-03,1.403454e-03
82,4.201681e-04,4.201681e-04
83,4.978355e-04,4.978355e-04
84,3.030303e-03,3.030303e-03
85,5.550006e-04,5.550006e-04
86,5.189255e-03,5.189255e-03
87,2.066500e-03,2.066500e-03
88,8.198151e-04,8.198151e-04
89,1.982347e-03,1.982347e-03
90,5.883265e-04,5.883265e-04
91,8.888889e-04,8.888889e-04
92,2.031250e-03,2.031250e-03
93,3.665445e-03,3.665445e-03
94,5.998001e-04,5.998001e-04
95,1.498501e-03,1.498501e-03
96,2.335859e-03,2.335859e-03
97,7.004213e-04,7.004213e-04
98,2.343042e-03,2.343042e-03
99,8.219482e-04,8.219482e-04
100,6.060606e-04,6.060606e-04
101,3.163503e-04,3.163503e-04
102,1.122361e-03,1.122361e-03
103,3.024633e-03,3.024633e-03
104,1.779550e-03,1.779550e-03
105,1.059547e-03,1.059547e-03
106,1.050537e-04,1.050537e-04
107,3.024633e-03,3.024633e-03
108,2.498454e-03,2.498454e-03
109,3.178428e-03,3.178428e-03
110,2.689268e-04,2.689268e-04
111,9.411422e-04,9.411422e-04
112,8.145789e-03,8.145789e-03
113,1.206130e-03,1.206130e-03
114,1.296885e-03,1.296885e-03
115,6.151796e-04,6.151796e-04
116,3.870377e-04,3.870240e-04
117,4.683421e-03,4.683421e-03
118,2.777778e-03,2.777778e-03
119,3.245748e-03,3.245748e-03
120,3.205128e-03,3.205128e-03
121,4.446137e-03,4.446137e-03
122,2.665797e-03,2.665071e-03
123,8.715044e-04,8.715044e-04
124,2.777778e-03,2.777778e-03
125,1.048951e-03,1.048951e-03
126,5.968706e-04,5.968706e-04
127,7.689744e-04,7.689744e-04
128,1.082251e-03,1.082251e-03
129,2.232143e-03,2.232143e-03
130,8.080808e-04,8.080808e-04
131,1.106301e-03,1.106301e-03
132,7.946069e-04,7.946069e-04
133,6.493506e-03,6.493506e-03
134,1.916134e-04,6.347091e-04
135,6.919007e-03,6.919007e-03
136,2.522478e-03,2.522478e-03
137,2.742819e-03,2.742819e-03
138,6.115178e-04,6.115178e-04
139,2.976786e-03,2.976786e-03
140,4.978355e-04,4.978355e-04
141,1.395953e-03,1.395953e-03
142,4.625440e-03,4.625440e-03
143,9.259259e-04,9.259259e-04
144,5.232862e-04,5.232862e-04
