pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.000000,99,3.332223e-04,
TP53->-PIK3CA,2,1,84.000000,83,1.602432e-02,
PIK3CA->-TP53,2,1,68.434553,66,6.796163e-01,
MAP3K1->-PIK3CA,2,1,48.000000,47,2.980045e-02,
PIK3CA->-GATA3,2,1,41.155500,38,2.215323e-01,
TP53->-PTEN,2,1,38.000000,38,3.430491e-04,
GATA3->-PIK3CA,2,1,35.666667,34,6.896698e-01,
PIK3CA->-KMT2C,2,1,33.500000,33,2.701333e-02,
PIK3CA->-MAP3K1,2,1,33.000000,32,9.332098e-01,
CBFB->-PIK3CA,2,1,32.500000,32,2.541932e-06,
TP53->-KMT2C,2,1,29.400000,29,3.397892e-04,
PIK3CA->-CDH1,2,1,28.500000,28,1.000000e+00,
PIK3CA->-ESR1,2,1,27.505464,26,2.531406e-02,
TP53->-NF1,2,1,27.000000,27,2.715474e-03,
PIK3CA->-FOXA1,2,1,27.000000,27,3.719269e-03,
CDH1->-TP53,2,1,25.666667,25,8.161737e-02,
TP53->-KMT2D,2,1,24.000000,24,3.337040e-04,
TP53->-MAP3K1,2,1,23.903146,23,3.692838e-04,
CDH1->-KMT2C,2,1,23.500000,23,4.174289e-04,
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,2.080603e-03,
CBFB->-GATA3,2,1,21.000000,21,1.255216e-04,
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,4.252870e-02,
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,5.666667,5,1.222332e-02,
TP53->-RB1,2,1,21.000000,21,3.648024e-03,
PIK3CA->-ARID1A,2,1,20.166667,18,1.764372e-01,
KMT2C->-PIK3CA,2,1,20.000000,18,9.657295e-01,
PIK3CA->-FAT1,2,1,19.253606,18,6.482414e-04,
CDH1->-MAP3K1,2,1,19.000000,19,6.117082e-04,
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,9.490482e-04,
PIK3CA->-SF3B1,2,1,19.000000,19,5.628336e-06,
AKT1->-TP53,2,1,19.000000,19,1.119178e-05,
TP53->-CDH1,2,1,19.000000,19,7.532403e-01,
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,3.350763e-02,
CDH1->-ERBB2,2,1,18.928571,18,4.764237e-02,
CDH1->-FOXA1,2,1,18.665753,18,9.285295e-04,
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,3.053590e-04,
TP53->-NCOR1,2,1,18.661458,18,9.596885e-03,
PIK3CA->-RUNX1,2,1,18.600000,18,1.404617e-02,
TP53->-FAT1,2,1,18.000000,18,3.536572e-04,
CDH1->-TBX3,2,1,17.500000,17,2.804426e-02,
TP53->-GATA3,2,1,17.256098,17,1.190518e-02,
MAP2K4->-PIK3CA,2,1,17.166667,16,4.825102e-02,
PIK3CA->-NCOR1,2,1,17.100000,16,3.734965e-01,
TBX3->-PIK3CA,2,1,17.000000,17,2.436743e-01,
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,4.254530e-02,
TP53->-ARID1A,2,1,17.000000,16,7.895666e-04,
ESR1->-PIK3CA,2,1,16.500000,16,9.310225e-01,
CDH1->-ARID1A,2,1,16.100000,15,4.481433e-03,
NCOR1->-PIK3CA,2,1,16.000000,16,5.500248e-01,
CDH1->-RUNX1,2,1,15.000000,15,5.730639e-02,
CDH1->-NCOR1,2,1,15.000000,15,1.632979e-02,
TP53->-ARID2,2,1,15.000000,15,3.339778e-04,
TP53->-PIK3R1,2,1,15.000000,15,3.408715e-03,
PIK3CA->-TBX3,2,1,14.500000,14,5.780755e-01,
ARID1A->-PIK3CA,2,1,14.500000,14,8.537672e-01,
ARID1A->-PIK3CA CDH1->-ARID1A CDH1->-PIK3CA,3,3,5.500000,5,2.224834e-02,
PIK3CA->-KMT2D,2,1,14.333333,14,1.115630e-02,
PIK3CA->-KMT2D PIK3CA->-TP53 TP53->-KMT2D,3,3,5.000000,5,1.044111e-02,
TP53->-ATR,2,1,14.000000,13,7.825608e-04,
TP53->-PTPRD,2,1,13.903458,13,3.430316e-04,
TP53->-RUNX1,2,1,13.500000,13,2.526320e-02,
TP53->-BRCA2,2,1,13.500000,13,4.743643e-04,
TP53->-NSD1,2,1,13.000000,12,3.692090e-04,
PIK3CA->-ATR,2,1,13.000000,12,4.435643e-03,
TP53->-KMT2A,2,1,13.000000,13,3.527185e-04,
CDH1->-ESR1,2,1,13.000000,13,5.979235e-02,
PIK3CA->-PTEN,2,1,13.000000,13,3.819040e-01,
PIK3CA->-PTEN PIK3CA->-TP53 TP53->-PTEN,3,3,6.000000,6,8.676684e-04,
TP53->-CREBBP,2,1,12.666667,12,9.657298e-04,
TP53->-STAG2,2,1,12.500000,12,3.033656e-03,
TP53->-FLT4,2,1,12.000000,12,3.382085e-04,
PIK3CA->-SPEN,2,1,12.000000,12,3.379182e-02,
TP53->-APC,2,1,12.000000,12,4.944476e-04,
MEN1->-GATA3,2,1,12.000000,12,2.441406e-04,
NF1->-PIK3CA,2,1,12.000000,12,2.651104e-01,
NF1->-TP53,2,1,12.000000,12,9.846357e-01,
PTEN->-PIK3CA,2,1,11.900000,11,5.536251e-01,
TP53->-ALK,2,1,11.697406,11,3.450908e-04,
TP53->-TBX3,2,1,11.505208,11,4.481155e-02,
PTEN->-TP53,2,1,11.500000,11,9.998689e-01,
MAP3K1->-GATA3,2,1,11.500000,11,4.433479e-01,
GATA3->-PIK3CA MAP3K1->-GATA3 MAP3K1->-PIK3CA,3,3,5.000000,4,7.906714e-02,
CDH1->-CBFB,2,1,11.500000,11,1.601856e-01,
CBFB->-PIK3CA CDH1->-CBFB CDH1->-PIK3CA,3,3,5.000000,5,6.345300e-03,
FOXA1->-PIK3CA,2,1,11.500000,11,9.919882e-01,
TP53->-ESR1,2,1,11.400000,11,1.309541e-03,
TP53->-FOXA1,2,1,11.170962,10,1.851065e-02,
PIK3CA->-PTPRT,2,1,11.076369,10,6.269807e-03,
PIK3CA->-ATM,2,1,11.000000,11,1.888169e-01,
