rank,pvalue,fdr_theta
1,5.003879e-06,0.000500
2,2.452104e-05,0.000500
3,1.258357e-04,0.068167
4,2.441406e-04,0.055125
5,3.332223e-04,0.047500
6,3.371991e-04,0.047500
7,3.381294e-04,0.041357
8,3.393179e-04,0.036500
9,3.403731e-04,0.032611
10,3.471039e-04,0.030800
11,3.540691e-04,0.029773
12,3.630294e-04,0.029000
13,3.723203e-04,0.031962
14,3.770173e-04,0.032286
15,3.832056e-04,0.036600
16,3.970899e-04,0.054656
17,3.982520e-04,0.052059
18,4.026039e-04,0.054861
19,4.083083e-04,0.060342
20,4.089748e-04,0.057550
21,4.385491e-04,0.070976
22,4.411723e-04,0.068295
23,4.439564e-04,0.065761
24,4.463072e-04,0.063208
25,4.478183e-04,0.060900
26,4.550676e-04,0.059423
27,4.673706e-04,0.057833
28,5.122017e-04,0.056679
29,5.140410e-04,0.054759
30,5.637642e-04,0.054000
31,5.653875e-04,0.052258
32,5.854598e-04,0.051078
33,6.016259e-04,0.049864
34,6.062359e-04,0.048485
35,6.070098e-04,0.047143
36,6.446065e-04,0.046806
37,6.818715e-04,0.046851
38,7.714836e-04,0.050474
39,8.383607e-04,0.054949
40,1.036057e-03,0.066450
41,1.107057e-03,0.068841
42,1.173626e-03,0.071560
43,1.249583e-03,0.076860
44,1.257451e-03,0.075818
45,1.299739e-03,0.076544
46,1.369010e-03,0.082130
47,1.393389e-03,0.081947
48,1.394400e-03,0.080344
49,1.558798e-03,0.091480
50,1.634103e-03,0.094160
51,1.636071e-03,0.092333
52,1.636905e-03,0.095971
53,1.650044e-03,0.095066
54,1.652529e-03,0.093972
55,1.670153e-03,0.093745
56,1.695087e-03,0.094634
57,1.706434e-03,0.099203
58,1.706434e-03,0.099203
59,1.706434e-03,0.099203
60,1.727886e-03,0.145175
61,1.727886e-03,0.145175
62,1.727886e-03,0.145175
63,1.727886e-03,0.145175
64,1.736111e-03,0.199208
65,1.736111e-03,0.199208
66,1.736111e-03,0.199208
67,1.736111e-03,0.199208
68,1.736111e-03,0.199208
69,1.736111e-03,0.199208
70,1.736111e-03,0.199208
71,1.736111e-03,0.199208
72,1.736111e-03,0.199208
73,1.743530e-03,0.201096
74,1.758023e-03,0.199426
75,1.766018e-03,0.215253
