resample,min_pval_exp,min_pval_theta
0,4.782517e-05,4.782517e-05
1,7.937356e-04,7.937356e-04
2,1.013551e-03,1.013551e-03
3,3.876295e-04,5.761968e-04
4,6.482174e-05,6.482174e-05
5,3.740975e-04,3.740975e-04
6,3.938687e-04,3.938687e-04
7,7.233796e-05,3.954237e-04
8,3.865378e-04,3.865378e-04
9,4.782517e-05,4.782517e-05
10,3.732089e-04,3.732089e-04
11,5.074058e-04,1.016474e-03
12,2.480159e-04,2.480159e-04
13,7.440476e-04,7.440476e-04
14,4.822531e-04,4.822531e-04
15,5.164945e-04,5.164945e-04
16,3.625458e-04,3.625458e-04
17,3.790630e-04,3.790630e-04
18,1.714678e-05,1.714678e-05
19,3.902033e-04,3.902033e-04
20,8.783896e-05,6.621126e-04
21,3.456626e-04,3.456626e-04
22,3.332223e-04,3.332223e-04
23,4.782517e-05,4.782517e-05
24,3.482173e-04,3.482173e-04
25,4.098634e-04,4.098634e-04
26,3.962013e-04,3.962013e-04
27,3.880929e-04,3.880929e-04
28,3.710965e-04,5.797721e-04
29,6.944444e-04,6.944444e-04
30,3.944181e-04,3.944181e-04
31,2.314815e-04,2.314815e-04
32,3.401724e-04,3.401724e-04
33,4.822531e-04,4.822531e-04
34,1.036623e-03,1.036623e-03
35,4.124612e-04,4.124612e-04
36,2.502770e-04,2.502770e-04
37,3.648165e-04,3.648165e-04
38,3.569997e-04,3.766522e-04
39,3.434411e-04,3.434411e-04
40,3.858793e-04,3.858793e-04
41,6.944444e-05,6.944444e-05
42,5.787037e-04,5.787037e-04
43,4.782517e-05,4.782517e-05
44,4.855687e-04,4.855687e-04
45,6.440534e-04,1.055204e-03
46,4.782517e-05,4.782517e-05
47,6.944444e-05,6.944444e-05
48,2.314815e-04,2.314815e-04
49,3.894257e-04,3.894257e-04
50,4.760694e-04,4.708114e-04
51,8.679024e-04,9.715964e-04
52,3.752083e-04,3.752083e-04
53,4.782517e-05,4.782517e-05
54,1.840973e-04,1.811504e-04
55,6.433041e-04,6.433041e-04
56,3.906250e-04,4.124181e-04
57,3.332223e-04,3.332223e-04
58,5.553704e-04,5.553704e-04
59,3.776519e-04,3.776519e-04
60,4.601776e-04,4.601776e-04
61,3.431963e-04,7.775186e-04
62,3.611713e-04,4.754661e-04
63,5.109598e-04,5.109598e-04
64,4.998334e-04,4.998334e-04
65,6.944444e-05,6.944444e-05
66,3.505498e-04,3.505498e-04
67,6.125241e-04,6.125241e-04
68,3.582139e-04,3.582139e-04
69,4.782517e-05,4.782517e-05
70,1.012731e-04,3.748750e-04
71,3.954237e-04,3.954237e-04
72,3.720982e-04,3.720982e-04
73,1.157407e-04,1.157407e-04
74,3.845385e-04,3.845385e-04
75,3.865378e-04,3.865378e-04
76,2.480159e-04,2.480159e-04
77,2.862758e-04,2.768986e-04
78,4.359658e-04,4.359658e-04
79,4.782517e-05,4.782517e-05
80,4.782517e-05,4.782517e-05
81,3.658833e-04,3.658833e-04
82,1.157407e-04,1.157407e-04
83,3.915362e-04,3.915362e-04
84,2.893519e-04,2.893519e-04
85,4.441823e-04,6.664445e-04
86,4.055315e-04,4.055315e-04
87,4.782517e-05,4.782517e-05
88,3.766522e-04,3.766522e-04
89,2.847447e-04,3.820949e-04
90,3.518827e-04,3.518827e-04
91,1.139323e-04,1.139323e-04
92,6.944444e-05,6.944444e-05
93,3.848562e-04,3.848562e-04
94,3.794291e-04,3.794291e-04
95,1.386804e-04,1.378981e-04
96,2.200878e-04,1.735821e-04
97,3.676449e-04,3.676449e-04
98,3.532156e-04,3.532156e-04
99,3.498834e-04,3.498834e-04
100,2.314815e-04,2.314815e-04
101,4.146689e-04,4.146689e-04
102,4.020882e-04,4.020882e-04
103,3.673158e-04,3.673158e-04
104,3.665445e-04,3.665445e-04
105,3.658780e-04,3.658780e-04
106,6.944444e-05,6.944444e-05
107,3.912029e-04,3.912029e-04
108,3.398867e-04,3.398867e-04
109,6.820437e-05,3.545485e-04
110,3.306878e-04,3.306878e-04
111,3.868710e-04,3.868710e-04
112,4.601776e-04,4.601776e-04
113,6.200397e-04,6.200397e-04
114,3.970899e-04,3.970899e-04
115,3.443297e-04,3.443297e-04
116,4.782517e-05,4.782517e-05
117,6.283069e-05,6.283069e-05
118,9.580140e-04,9.580140e-04
119,5.137176e-04,5.137176e-04
120,3.672109e-04,3.672109e-04
121,6.944444e-05,6.944444e-05
122,6.944444e-05,6.944444e-05
123,5.787037e-04,5.787037e-04
124,4.859491e-04,4.859491e-04
125,3.354437e-04,3.354437e-04
126,4.720649e-04,4.720649e-04
127,9.111180e-04,9.195665e-04
128,4.782517e-05,4.782517e-05
129,3.696732e-04,3.696732e-04
130,4.782517e-05,4.782517e-05
131,3.798734e-04,3.798734e-04
132,3.698767e-04,3.698767e-04
133,4.782517e-05,4.782517e-05
134,3.776519e-04,3.776519e-04
135,4.998334e-04,4.998334e-04
136,6.760018e-04,6.760018e-04
137,3.855115e-04,3.855115e-04
138,3.459958e-04,3.459958e-04
139,3.367766e-04,3.367766e-04
140,4.081973e-04,4.081973e-04
141,5.312832e-04,7.440476e-04
142,1.984127e-04,1.984127e-04
143,3.833599e-04,3.833599e-04
144,6.482174e-05,6.482174e-05
145,4.950731e-04,4.950731e-04
