rank,pvalue,fdr_exp
1,2.541932e-06,0.000000
2,5.628336e-06,0.000250
3,1.119178e-05,0.000167
4,1.255216e-04,0.003000
5,2.095345e-04,0.003400
6,2.441406e-04,0.003583
7,3.053590e-04,0.005071
8,3.332223e-04,0.004625
9,3.337040e-04,0.004111
10,3.339778e-04,0.003700
11,3.355194e-04,0.003409
12,3.379466e-04,0.003125
13,3.382085e-04,0.002885
14,3.397892e-04,0.002679
15,3.420638e-04,0.002533
16,3.424960e-04,0.002375
17,3.430316e-04,0.002412
18,3.430491e-04,0.002278
19,3.450908e-04,0.002184
20,3.464814e-04,0.002150
21,3.527185e-04,0.002238
22,3.536572e-04,0.002136
23,3.622668e-04,0.002239
24,3.692090e-04,0.002167
25,3.692838e-04,0.002080
26,4.174289e-04,0.003231
27,4.743643e-04,0.004296
28,4.870763e-04,0.004375
29,4.944476e-04,0.004345
30,5.257645e-04,0.004700
31,5.304336e-04,0.004581
32,5.365000e-04,0.004500
33,5.891671e-04,0.005242
34,6.039867e-04,0.005353
35,6.113914e-04,0.005300
36,6.117082e-04,0.005181
37,6.230149e-04,0.005149
38,6.407488e-04,0.005342
39,6.482414e-04,0.005295
40,6.498109e-04,0.005200
41,6.817772e-04,0.005610
42,7.242637e-04,0.006000
43,7.275132e-04,0.005942
44,7.825608e-04,0.006545
45,7.895666e-04,0.006467
46,8.676684e-04,0.006891
47,9.285295e-04,0.007383
48,9.490482e-04,0.007677
49,9.657298e-04,0.007643
50,1.053857e-03,0.008490
51,1.221690e-03,0.010108
52,1.235522e-03,0.010125
53,1.287203e-03,0.010651
54,1.303881e-03,0.010676
55,1.309541e-03,0.010518
56,1.426975e-03,0.011580
57,1.597779e-03,0.013395
58,2.080603e-03,0.018483
59,2.083218e-03,0.018229
60,2.146700e-03,0.018858
61,2.320986e-03,0.020508
62,2.450117e-03,0.021532
63,2.458022e-03,0.021270
64,2.492535e-03,0.021273
65,2.587116e-03,0.021931
66,2.715474e-03,0.023121
67,2.723582e-03,0.022851
68,2.742790e-03,0.022684
69,2.778174e-03,0.022761
70,2.790732e-03,0.022679
71,2.908273e-03,0.023282
72,2.956686e-03,0.023347
73,3.033656e-03,0.023712
74,3.063261e-03,0.023743
75,3.154217e-03,0.024513
76,3.285127e-03,0.025592
77,3.360116e-03,0.025974
78,3.393830e-03,0.025891
79,3.408715e-03,0.025772
80,3.648024e-03,0.027431
81,3.719269e-03,0.027833
82,3.762812e-03,0.028030
83,4.032882e-03,0.030958
84,4.039013e-03,0.030673
85,4.084427e-03,0.030694
86,4.157867e-03,0.030837
87,4.194772e-03,0.030994
88,4.250197e-03,0.030966
89,4.375777e-03,0.031629
90,4.435643e-03,0.031706
91,4.439661e-03,0.031385
92,4.481433e-03,0.031402
93,4.557530e-03,0.031489
94,4.803247e-03,0.032941
95,5.071226e-03,0.034368
96,5.431031e-03,0.037380
97,5.601109e-03,0.038619
98,5.752956e-03,0.039327
99,5.931172e-03,0.040101
100,6.016732e-03,0.040520
101,6.269807e-03,0.041673
102,6.345300e-03,0.041926
103,6.546875e-03,0.042782
104,6.606597e-03,0.042779
105,6.798775e-03,0.043590
106,7.176572e-03,0.045774
107,7.255157e-03,0.045869
108,7.289633e-03,0.045681
109,7.562933e-03,0.047326
110,7.837302e-03,0.048832
111,8.231840e-03,0.050180
112,8.287391e-03,0.050013
113,8.374482e-03,0.050075
114,8.468634e-03,0.050127
115,9.488913e-03,0.055974
116,9.497881e-03,0.055901
117,9.570368e-03,0.055893
118,9.596885e-03,0.055538
119,9.672570e-03,0.055399
120,9.747320e-03,0.055362
121,1.015684e-02,0.057463
122,1.025630e-02,0.057578
123,1.044111e-02,0.058606
124,1.115626e-02,0.062984
125,1.115630e-02,0.062480
126,1.137452e-02,0.063107
127,1.147211e-02,0.063409
128,1.185022e-02,0.066133
129,1.190518e-02,0.066240
130,1.201037e-02,0.066715
131,1.222332e-02,0.067546
132,1.227679e-02,0.067519
133,1.249850e-02,0.068218
134,1.267393e-02,0.068810
135,1.270410e-02,0.068430
136,1.292216e-02,0.069062
137,1.388889e-02,0.073182
138,1.401890e-02,0.073464
139,1.404617e-02,0.072996
140,1.420786e-02,0.073389
141,1.440208e-02,0.073709
142,1.514268e-02,0.076479
143,1.522778e-02,0.076455
144,1.562500e-02,0.079427
145,1.565575e-02,0.079038
146,1.571290e-02,0.078661
147,1.602432e-02,0.079425
148,1.632979e-02,0.080338
149,1.636763e-02,0.079933
150,1.694802e-02,0.082707
151,1.699434e-02,0.082298
152,1.823134e-02,0.087734
153,1.843399e-02,0.087971
154,1.851065e-02,0.087724
155,1.880771e-02,0.088419
156,1.902774e-02,0.088949
157,1.911694e-02,0.088688
158,1.942130e-02,0.089652
159,1.959311e-02,0.089679
160,1.974683e-02,0.089550
161,1.988751e-02,0.089652
162,2.083333e-02,0.092997
163,2.101442e-02,0.093083
164,2.131615e-02,0.093585
165,2.163862e-02,0.094433
166,2.224834e-02,0.097184
167,2.237578e-02,0.097201
168,2.276174e-02,0.098051
169,2.292342e-02,0.098482
170,2.334210e-02,0.099721
171,2.337963e-02,0.099512
172,2.401978e-02,0.101727
173,2.417039e-02,0.101532
174,2.513021e-02,0.104198
175,2.526320e-02,0.104663
176,2.531406e-02,0.104193
177,2.582617e-02,0.105068
178,2.661671e-02,0.107059
179,2.688746e-02,0.107905
180,2.701333e-02,0.107847
181,2.703645e-02,0.107326
182,2.722222e-02,0.108146
183,2.804426e-02,0.109891
184,2.822839e-02,0.109997
185,2.860057e-02,0.110862
186,2.922235e-02,0.112446
187,2.939467e-02,0.112249
188,2.940646e-02,0.111668
189,2.980045e-02,0.112519
190,3.042932e-02,0.113361
191,3.113678e-02,0.115699
192,3.125000e-02,0.116889
193,3.125000e-02,0.116889
194,3.196681e-02,0.118778
195,3.305573e-02,0.122269
196,3.350763e-02,0.123046
197,3.379182e-02,0.123170
198,3.459955e-02,0.125098
199,3.514683e-02,0.125839
200,3.548139e-02,0.126335
201,3.620479e-02,0.127490
202,3.766646e-02,0.130819
203,3.934152e-02,0.135239
204,3.973303e-02,0.135743
205,4.069801e-02,0.137810
206,4.192041e-02,0.140442
207,4.252870e-02,0.142179
208,4.254530e-02,0.141546
209,4.312656e-02,0.143390
210,4.470299e-02,0.147440
211,4.481155e-02,0.146953
212,4.764237e-02,0.154986
213,4.772209e-02,0.154455
214,4.825102e-02,0.156070
215,4.895833e-02,0.157809
216,4.910848e-02,0.157407
217,4.985779e-02,0.158394
218,5.067603e-02,0.159972
219,5.317812e-02,0.165632
220,5.365589e-02,0.166027
221,5.468750e-02,0.168686
222,5.564728e-02,0.170385
223,5.565213e-02,0.169630
224,5.610318e-02,0.169931
225,5.730639e-02,0.172087
226,5.761812e-02,0.171903
227,5.938422e-02,0.174617
228,5.979235e-02,0.174936
229,6.250000e-02,0.182129
230,6.389682e-02,0.184198
231,6.498610e-02,0.185786
232,6.614625e-02,0.187315
233,7.886889e-02,0.214451
234,7.906714e-02,0.214964
235,7.981049e-02,0.215134
236,8.043150e-02,0.215333
237,8.152288e-02,0.216694
238,8.161737e-02,0.216021
239,8.226607e-02,0.217726
240,8.244048e-02,0.217785
241,8.313127e-02,0.218950
242,8.426339e-02,0.220748
243,8.574320e-02,0.222465
244,8.841701e-02,0.227467
245,8.943383e-02,0.229361
246,9.005800e-02,0.229876
247,9.077381e-02,0.230676
248,9.125237e-02,0.230625
249,9.172038e-02,0.230627
250,9.340846e-02,0.233446
251,9.381838e-02,0.233241
252,9.382015e-02,0.232319
253,9.385367e-02,0.231453
254,9.524921e-02,0.233726
255,9.630123e-02,0.234612
256,9.716957e-02,0.235295
257,9.774345e-02,0.235374
258,1.033002e-01,0.244488
259,1.138781e-01,0.261903
260,1.226638e-01,0.277123
261,1.306842e-01,0.291010
262,1.307180e-01,0.289954
263,1.378255e-01,0.304127
264,1.396740e-01,0.307157
265,1.398810e-01,0.307040
266,1.457385e-01,0.318923
267,1.566823e-01,0.334281
268,1.577359e-01,0.334972
269,1.601856e-01,0.337818
270,1.637863e-01,0.342570
271,1.764372e-01,0.356105
272,1.766493e-01,0.355971
273,1.768391e-01,0.354914
274,1.875000e-01,0.371469
275,1.888169e-01,0.371307
276,1.939416e-01,0.377962
277,2.039931e-01,0.390816
278,2.046770e-01,0.390888
279,2.059922e-01,0.390923
280,2.091000e-01,0.394155
281,2.106751e-01,0.395550
282,2.132257e-01,0.396922
283,2.215323e-01,0.407355
284,2.247769e-01,0.411097
285,2.252457e-01,0.410374
286,2.286495e-01,0.413093
287,2.345517e-01,0.417721
288,2.397035e-01,0.423903
289,2.423364e-01,0.427067
290,2.436743e-01,0.427186
291,2.486402e-01,0.429957
292,2.542052e-01,0.435592
293,2.581125e-01,0.438657
294,2.621678e-01,0.443847
295,2.621788e-01,0.442353
296,2.651104e-01,0.444988
297,2.704855e-01,0.451727
298,2.763250e-01,0.457000
299,2.937679e-01,0.474637
300,3.093221e-01,0.490280
301,3.095147e-01,0.488841
302,3.516192e-01,0.528566
303,3.555206e-01,0.530748
304,3.627054e-01,0.539308
305,3.632812e-01,0.539438
306,3.666408e-01,0.540995
307,3.693587e-01,0.542456
308,3.713694e-01,0.543044
309,3.717691e-01,0.541586
310,3.734965e-01,0.541497
311,3.819040e-01,0.547828
312,3.882851e-01,0.552731
313,4.433479e-01,0.600824
314,4.466013e-01,0.601852
315,4.512370e-01,0.604513
316,5.059451e-01,0.647225
317,5.185723e-01,0.653516
318,5.195793e-01,0.652226
319,5.282499e-01,0.655987
320,5.291153e-01,0.654652
321,5.500248e-01,0.667106
322,5.536251e-01,0.670185
323,5.593918e-01,0.672316
324,5.780755e-01,0.683594
325,5.820975e-01,0.685112
326,5.895487e-01,0.688239
327,6.035762e-01,0.694411
328,6.101552e-01,0.695471
329,6.175848e-01,0.699392
330,6.194117e-01,0.698056
331,6.208078e-01,0.696586
332,6.278203e-01,0.698358
333,6.452864e-01,0.706925
334,6.569754e-01,0.714033
335,6.763043e-01,0.720900
336,6.796163e-01,0.721186
337,6.870993e-01,0.723426
338,6.896698e-01,0.722689
339,7.255795e-01,0.738381
340,7.532403e-01,0.751994
341,8.036338e-01,0.770962
342,8.068634e-01,0.773013
343,8.537672e-01,0.790373
344,8.608287e-01,0.791419
345,8.706096e-01,0.792986
346,8.764595e-01,0.794210
347,8.865405e-01,0.795078
348,9.193033e-01,0.805148
349,9.208452e-01,0.803543
350,9.310225e-01,0.803480
351,9.332098e-01,0.802352
352,9.511023e-01,0.806858
353,9.556737e-01,0.806180
354,9.558348e-01,0.803962
355,9.558465e-01,0.801704
356,9.657295e-01,0.802178
357,9.753755e-01,0.803133
358,9.778241e-01,0.801564
359,9.794106e-01,0.799670
360,9.823136e-01,0.798406
361,9.824604e-01,0.796301
362,9.826588e-01,0.794256
363,9.846357e-01,0.792523
364,9.897005e-01,0.791525
365,9.919882e-01,0.789949
366,9.925113e-01,0.787932
367,9.989997e-01,0.787004
368,9.993756e-01,0.784928
369,9.998120e-01,0.782866
370,9.998689e-01,0.780755
371,9.999960e-01,0.778667
372,1.000000e+00,0.776574
