rank,pvalue,fdr_theta
1,2.843894e-06,0.000000
2,1.526252e-04,0.010500
3,2.034329e-04,0.008333
4,3.535561e-04,0.012875
5,7.263091e-04,0.058700
6,7.515532e-04,0.051417
7,8.074232e-04,0.048643
8,1.275170e-03,0.081937
9,1.590136e-03,0.085833
10,2.486351e-03,0.111250
11,2.777583e-03,0.118000
12,3.030303e-03,0.122125
13,3.199964e-03,0.120077
14,4.223534e-03,0.142750
15,5.285191e-03,0.176567
16,6.058216e-03,0.192000
17,6.410256e-03,0.193824
18,7.916052e-03,0.231417
19,8.213482e-03,0.234553
20,8.290404e-03,0.225275
21,8.392196e-03,0.222071
22,9.080427e-03,0.234182
23,9.157509e-03,0.230109
24,9.245516e-03,0.226229
25,9.254808e-03,0.218440
26,9.285186e-03,0.213019
27,9.343434e-03,0.212167
28,9.977324e-03,0.216929
29,1.154514e-02,0.249793
30,1.164021e-02,0.243333
31,1.182105e-02,0.244081
32,1.190476e-02,0.239875
33,1.291017e-02,0.252621
34,1.343101e-02,0.257176
35,1.346154e-02,0.253757
36,1.388889e-02,0.261069
37,1.413234e-02,0.257757
38,1.429492e-02,0.252013
39,1.504274e-02,0.261167
40,1.527179e-02,0.260175
41,1.538462e-02,0.262305
42,1.644282e-02,0.276976
43,1.696970e-02,0.278186
44,1.748252e-02,0.285080
45,1.785714e-02,0.289956
46,1.809211e-02,0.291598
47,1.818182e-02,0.288074
48,1.819066e-02,0.282396
49,1.842404e-02,0.278602
50,1.844156e-02,0.272833
51,1.844156e-02,0.272833
52,1.920996e-02,0.280894
53,1.948056e-02,0.282877
54,1.991342e-02,0.284287
55,2.000000e-02,0.277679
56,2.000000e-02,0.277679
57,2.126984e-02,0.294219
58,2.194140e-02,0.302207
59,2.429752e-02,0.332136
60,2.442434e-02,0.328008
61,2.447552e-02,0.328189
62,2.448980e-02,0.325306
63,2.500000e-02,0.329706
64,2.532895e-02,0.330266
65,2.582812e-02,0.331254
66,2.588644e-02,0.329841
67,2.592593e-02,0.326104
68,2.721088e-02,0.334348
69,2.721088e-02,0.334348
70,2.724092e-02,0.329771
71,2.791662e-02,0.338275
72,2.797203e-02,0.335167
73,2.899184e-02,0.343151
74,3.030303e-02,0.357662
75,3.116945e-02,0.360767
76,3.125000e-02,0.359717
77,3.146853e-02,0.357240
78,3.256579e-02,0.356135
79,3.285812e-02,0.353880
80,3.363396e-02,0.357837
81,3.407959e-02,0.362037
82,3.438244e-02,0.360067
83,3.571429e-02,0.368102
84,3.822369e-02,0.384042
85,3.872054e-02,0.383482
86,3.968254e-02,0.383634
87,3.977273e-02,0.380259
88,4.000000e-02,0.382381
89,4.017082e-02,0.378331
90,4.029304e-02,0.376972
91,4.084142e-02,0.376978
92,4.091654e-02,0.373674
93,4.115226e-02,0.370452
94,4.166667e-02,0.373213
95,4.213992e-02,0.371558
96,4.335063e-02,0.376375
97,4.581673e-02,0.391144
98,4.784124e-02,0.407964
99,4.847072e-02,0.410197
100,4.968254e-02,0.412535
101,4.988662e-02,0.409312
102,5.000000e-02,0.411039
103,5.074786e-02,0.413257
104,5.111111e-02,0.414327
105,5.128205e-02,0.413952
106,5.160256e-02,0.416014
107,5.215420e-02,0.416804
108,5.366300e-02,0.424782
109,5.462458e-02,0.426197
110,5.472261e-02,0.425532
111,5.555556e-02,0.428721
112,5.568617e-02,0.426839
113,5.648198e-02,0.429819
114,5.743590e-02,0.432434
115,5.915806e-02,0.444348
116,5.952042e-02,0.443353
117,5.952381e-02,0.442423
118,6.028332e-02,0.448360
119,6.146840e-02,0.456752
120,6.223584e-02,0.459779
121,6.250000e-02,0.464550
122,6.265664e-02,0.462377
123,6.267218e-02,0.460520
124,6.474811e-02,0.470020
125,6.593407e-02,0.477880
126,6.606627e-02,0.476750
127,6.637807e-02,0.481760
128,6.638263e-02,0.477996
129,6.722683e-02,0.481802
130,6.731090e-02,0.478585
131,6.761938e-02,0.478447
132,6.818182e-02,0.481186
133,6.902761e-02,0.485857
134,6.912775e-02,0.483840
135,7.000000e-02,0.488811
136,7.015061e-02,0.487434
137,7.015306e-02,0.485580
138,7.019943e-02,0.482837
139,7.045588e-02,0.481345
140,7.110450e-02,0.482221
141,7.121868e-02,0.480209
142,7.135656e-02,0.477891
143,7.519716e-02,0.503133
144,7.539683e-02,0.500969
145,7.562068e-02,0.499648
146,7.575758e-02,0.497490
147,7.777778e-02,0.506128
148,7.777778e-02,0.506128
149,7.810651e-02,0.503634
150,7.815789e-02,0.501350
151,7.829670e-02,0.502248
152,7.843539e-02,0.500227
153,8.064615e-02,0.509258
154,8.080808e-02,0.506705
155,8.116883e-02,0.511029
156,8.171578e-02,0.509599
157,8.296296e-02,0.510904
158,8.310023e-02,0.508782
159,8.333333e-02,0.509031
160,8.333333e-02,0.509031
161,8.351648e-02,0.507550
162,8.436639e-02,0.510154
163,8.482143e-02,0.511055
164,8.482429e-02,0.507957
165,8.524082e-02,0.506303
166,8.666667e-02,0.510263
167,8.666667e-02,0.510263
168,8.730159e-02,0.511393
169,8.946429e-02,0.523885
170,9.064152e-02,0.526971
171,9.107143e-02,0.528208
172,9.131315e-02,0.527055
173,9.312169e-02,0.534832
174,9.324009e-02,0.532911
175,9.333333e-02,0.532420
176,9.636517e-02,0.546651
177,9.848485e-02,0.552686
178,9.992151e-02,0.556152
179,1.000000e-01,0.558673
180,1.016934e-01,0.562944
181,1.018540e-01,0.561497
182,1.035714e-01,0.568000
183,1.043218e-01,0.567410
184,1.055417e-01,0.567620
185,1.069444e-01,0.571957
186,1.084249e-01,0.574685
187,1.098901e-01,0.582053
188,1.111111e-01,0.581217
189,1.111111e-01,0.581217
190,1.142857e-01,0.587908
191,1.142857e-01,0.587908
192,1.150000e-01,0.586086
193,1.156463e-01,0.585078
194,1.166667e-01,0.589394
195,1.174825e-01,0.589490
196,1.190476e-01,0.587015
197,1.190476e-01,0.587015
198,1.190476e-01,0.587015
199,1.207792e-01,0.588807
200,1.225000e-01,0.589205
201,1.244444e-01,0.592057
202,1.250000e-01,0.594450
203,1.263736e-01,0.595963
204,1.267361e-01,0.595904
205,1.277125e-01,0.595212
206,1.277985e-01,0.592961
207,1.282051e-01,0.593425
208,1.295159e-01,0.592599
209,1.296947e-01,0.590378
210,1.300905e-01,0.588507
211,1.309091e-01,0.589320
212,1.323280e-01,0.589717
213,1.333333e-01,0.593021
214,1.339286e-01,0.591834
215,1.363636e-01,0.594221
216,1.370629e-01,0.594095
217,1.374379e-01,0.593585
218,1.388889e-01,0.593394
219,1.392298e-01,0.591811
220,1.396825e-01,0.591095
221,1.409091e-01,0.591509
222,1.412063e-01,0.590574
223,1.414565e-01,0.588993
224,1.427719e-01,0.589002
225,1.437512e-01,0.590729
226,1.451247e-01,0.591469
227,1.467645e-01,0.597363
228,1.493827e-01,0.603441
229,1.497256e-01,0.603181
230,1.506524e-01,0.603598
231,1.510989e-01,0.602327
232,1.517510e-01,0.602187
233,1.519814e-01,0.600298
234,1.522312e-01,0.598957
235,1.538462e-01,0.599822
236,1.538462e-01,0.599822
237,1.561275e-01,0.601238
238,1.582609e-01,0.601836
239,1.592105e-01,0.604523
240,1.600000e-01,0.605573
241,1.607143e-01,0.604654
242,1.646667e-01,0.611649
243,1.666667e-01,0.615412
244,1.676349e-01,0.614811
245,1.678322e-01,0.613041
246,1.681910e-01,0.611197
247,1.719931e-01,0.617194
248,1.743881e-01,0.619613
249,1.745455e-01,0.617230
250,1.745455e-01,0.617230
251,1.754386e-01,0.615308
252,1.754386e-01,0.615308
253,1.800000e-01,0.621391
254,1.821777e-01,0.626333
255,1.830636e-01,0.625925
256,1.831502e-01,0.624938
257,1.835664e-01,0.625350
258,1.848291e-01,0.626878
259,1.863553e-01,0.627097
260,1.875000e-01,0.629160
261,1.880555e-01,0.628088
262,1.894805e-01,0.630546
263,1.896970e-01,0.629567
264,1.904762e-01,0.630872
265,1.904762e-01,0.630872
266,1.925136e-01,0.634126
267,1.944444e-01,0.636832
268,1.944444e-01,0.636832
269,1.947846e-01,0.635255
270,1.958042e-01,0.640241
271,1.964286e-01,0.638819
272,1.987830e-01,0.643803
273,1.995465e-01,0.643082
274,2.000000e-01,0.644047
275,2.000000e-01,0.644047
276,2.000000e-01,0.644047
277,2.004007e-01,0.642939
278,2.049351e-01,0.649941
279,2.052590e-01,0.648305
280,2.096883e-01,0.650995
281,2.097837e-01,0.648751
282,2.101852e-01,0.648349
283,2.106793e-01,0.647148
284,2.109890e-01,0.645718
285,2.116402e-01,0.644591
286,2.121212e-01,0.645180
287,2.124953e-01,0.645448
288,2.134606e-01,0.644517
289,2.142857e-01,0.647920
290,2.160494e-01,0.650534
291,2.171053e-01,0.650143
292,2.181818e-01,0.649712
293,2.181818e-01,0.649712
294,2.222222e-01,0.654820
295,2.225812e-01,0.652780
296,2.231209e-01,0.651492
297,2.250000e-01,0.656123
298,2.259279e-01,0.656577
299,2.261857e-01,0.655112
300,2.262626e-01,0.653825
301,2.267732e-01,0.653862
302,2.293210e-01,0.656957
303,2.303030e-01,0.656809
304,2.307692e-01,0.657814
305,2.310862e-01,0.657098
306,2.316850e-01,0.655835
