rank,pvalue,fdr_exp
1,2.552632e-06,0.000000
2,1.526252e-04,0.010750
3,2.034329e-04,0.008667
4,3.535561e-04,0.018500
5,6.664445e-04,0.055900
6,7.190965e-04,0.053000
7,7.515532e-04,0.048357
8,1.275170e-03,0.085687
9,1.445578e-03,0.085611
10,2.453728e-03,0.110850
11,2.691768e-03,0.115182
12,2.953813e-03,0.119375
13,3.030303e-03,0.114500
14,4.223534e-03,0.145429
15,5.165641e-03,0.175600
16,5.285191e-03,0.174844
17,6.410256e-03,0.204147
18,6.740036e-03,0.200833
19,7.126672e-03,0.201500
20,7.601455e-03,0.208800
21,8.290404e-03,0.224071
22,9.080427e-03,0.242455
23,9.145182e-03,0.234391
24,9.157509e-03,0.228000
25,9.245516e-03,0.223460
26,9.254808e-03,0.215538
27,9.343434e-03,0.216574
28,9.977324e-03,0.222268
29,1.001337e-02,0.214879
30,1.058201e-02,0.223317
31,1.182105e-02,0.248355
32,1.190476e-02,0.243953
33,1.291017e-02,0.257682
34,1.343101e-02,0.263662
35,1.346154e-02,0.260100
36,1.376775e-02,0.260625
37,1.388889e-02,0.260189
38,1.429492e-02,0.259461
39,1.504274e-02,0.268141
40,1.527179e-02,0.266738
41,1.538462e-02,0.268451
42,1.644282e-02,0.284024
43,1.696970e-02,0.287686
44,1.748252e-02,0.294091
45,1.785714e-02,0.296789
46,1.796344e-02,0.291957
47,1.809211e-02,0.291734
48,1.818182e-02,0.288073
49,1.819066e-02,0.282541
50,1.844156e-02,0.277510
51,1.844156e-02,0.277510
52,1.920996e-02,0.287519
53,1.948056e-02,0.289717
54,1.991342e-02,0.291537
55,2.000000e-02,0.284795
56,2.000000e-02,0.284795
57,2.009587e-02,0.280439
58,2.126984e-02,0.297733
59,2.277019e-02,0.317314
60,2.429752e-02,0.333358
61,2.447552e-02,0.334074
62,2.448980e-02,0.331105
63,2.500000e-02,0.336516
64,2.512472e-02,0.335625
65,2.532895e-02,0.332777
66,2.550688e-02,0.331848
67,2.588644e-02,0.333978
68,2.592593e-02,0.330493
69,2.686604e-02,0.337703
70,2.721088e-02,0.334338
71,2.721088e-02,0.334338
72,2.797203e-02,0.346028
73,2.829254e-02,0.343767
74,3.030303e-02,0.361264
75,3.116945e-02,0.364427
76,3.125000e-02,0.363336
77,3.146853e-02,0.360831
78,3.256579e-02,0.360558
79,3.285812e-02,0.358272
80,3.363396e-02,0.363231
81,3.407959e-02,0.367840
82,3.438244e-02,0.367220
83,3.571429e-02,0.374663
84,3.611954e-02,0.373268
85,3.655259e-02,0.371594
86,3.863636e-02,0.386692
87,3.872054e-02,0.384207
88,3.927449e-02,0.382443
89,3.968254e-02,0.380449
90,4.000000e-02,0.382589
91,4.029304e-02,0.381418
92,4.084142e-02,0.380277
93,4.115226e-02,0.377323
94,4.166667e-02,0.381266
95,4.213992e-02,0.380174
96,4.335063e-02,0.386813
97,4.389845e-02,0.385768
98,4.423077e-02,0.388898
99,4.439126e-02,0.385586
100,4.521001e-02,0.388825
101,4.784124e-02,0.409020
102,4.833333e-02,0.410377
103,4.847072e-02,0.407956
104,4.988662e-02,0.411745
105,5.000000e-02,0.413367
106,5.074786e-02,0.415193
107,5.111111e-02,0.416463
108,5.128205e-02,0.415343
109,5.141214e-02,0.413670
110,5.215420e-02,0.418600
