resample,min_pval_exp,min_pval_theta
0,1.096940e-02,1.093916e-02
1,3.623920e-03,3.623920e-03
2,8.017518e-03,8.017518e-03
3,1.340266e-02,2.535763e-02
4,2.054473e-03,2.054473e-03
5,8.017518e-03,8.017518e-03
6,1.080247e-04,1.080247e-04
7,1.819066e-02,1.819066e-02
8,3.235866e-03,3.235866e-03
9,2.551221e-02,2.551221e-02
10,2.259204e-02,2.259204e-02
11,1.839827e-03,1.839827e-03
12,1.719643e-03,1.719643e-03
13,3.285812e-02,3.285812e-02
14,1.487500e-02,1.487500e-02
15,1.003469e-02,1.003469e-02
16,4.493471e-02,4.493471e-02
17,9.762756e-03,9.762756e-03
18,2.416570e-02,2.416570e-02
19,1.311842e-03,1.311842e-03
20,1.839827e-03,1.839827e-03
21,1.782385e-02,1.782385e-02
22,1.029021e-01,1.029021e-01
23,5.017258e-03,5.017258e-03
24,6.423466e-03,6.697792e-03
25,9.080427e-03,9.080427e-03
26,6.761849e-03,6.761849e-03
27,2.967314e-02,2.967314e-02
28,6.464646e-03,6.464646e-03
29,1.924139e-03,1.924139e-03
30,3.340653e-02,3.340653e-02
31,2.399799e-03,2.398587e-03
32,6.003899e-03,6.003899e-03
33,4.143677e-03,4.143677e-03
34,1.851852e-03,1.851852e-03
35,5.201860e-02,5.187083e-02
36,3.578840e-02,3.578840e-02
37,9.462585e-03,9.462585e-03
38,5.341845e-03,5.341464e-03
39,1.982347e-03,1.982347e-03
40,1.182105e-02,1.182105e-02
41,1.574112e-03,1.570422e-03
42,1.020408e-02,1.020408e-02
43,4.812160e-02,4.812160e-02
44,4.357585e-04,4.357585e-04
45,1.819066e-02,1.819066e-02
46,7.092593e-02,7.092593e-02
47,2.844444e-02,2.844444e-02
48,2.967314e-02,2.967314e-02
49,2.074625e-02,2.074625e-02
50,1.924139e-03,1.924139e-03
51,3.401361e-02,3.401361e-02
52,4.322078e-03,4.322078e-03
53,4.523060e-02,5.435065e-02
54,1.487500e-02,1.487500e-02
55,5.063291e-03,5.063291e-03
56,8.921192e-03,8.921192e-03
57,3.401361e-02,3.401361e-02
58,3.455947e-02,3.453974e-02
59,9.806148e-03,9.806148e-03
60,2.400460e-02,2.400460e-02
61,5.017258e-03,5.017258e-03
62,9.932981e-03,9.932981e-03
63,1.305889e-02,1.305889e-02
64,3.889602e-03,3.873924e-03
65,3.455947e-02,3.453974e-02
66,9.932981e-03,9.932981e-03
67,1.096940e-02,1.093916e-02
68,2.551221e-02,2.551221e-02
69,9.932981e-03,9.932981e-03
70,3.340653e-02,3.340653e-02
71,1.344329e-03,1.344329e-03
72,2.400460e-02,2.400460e-02
73,6.410256e-03,6.410256e-03
74,4.625440e-03,4.625440e-03
75,6.111111e-03,6.111111e-03
76,4.675644e-02,4.675644e-02
77,4.218995e-02,4.218995e-02
78,5.585605e-02,5.585605e-02
79,1.924139e-03,1.924139e-03
80,1.850084e-02,1.816316e-02
81,6.515777e-03,6.515777e-03
82,5.506559e-02,5.503565e-02
83,7.065397e-03,7.065397e-03
84,2.913770e-03,2.913770e-03
85,2.517743e-02,2.517743e-02
86,1.675132e-02,1.675132e-02
87,8.017518e-03,8.017518e-03
88,2.665797e-03,2.665071e-03
89,4.143677e-03,4.143677e-03
90,5.945221e-03,5.945221e-03
91,4.583333e-02,4.583333e-02
92,1.668806e-02,1.668806e-02
93,1.774745e-02,1.743634e-02
94,5.341845e-03,5.341464e-03
95,1.340266e-02,5.141121e-02
96,9.254808e-03,9.254808e-03
97,6.604613e-03,2.535763e-02
98,3.684334e-02,3.684334e-02
99,2.671939e-02,2.647602e-02
100,2.400460e-02,2.400460e-02
101,1.480112e-02,5.503565e-02
102,6.697792e-03,6.697792e-03
103,1.375906e-02,1.375520e-02
104,6.410256e-03,6.410256e-03
105,2.665797e-03,2.665071e-03
106,1.594933e-02,1.594933e-02
107,2.670982e-02,2.670982e-02
108,3.578840e-02,3.578840e-02
109,7.007506e-03,7.007506e-03
110,9.118453e-04,9.118453e-04
111,1.214091e-02,1.214091e-02
112,1.855771e-02,1.855771e-02
113,1.362220e-02,1.361465e-02
114,6.404506e-03,6.404506e-03
115,5.063291e-03,5.063291e-03
116,4.308699e-03,4.308699e-03
117,1.782423e-02,1.782423e-02
118,2.336807e-03,2.336807e-03
119,2.670982e-02,2.670982e-02
120,6.404506e-03,6.404506e-03
121,1.343366e-03,1.343366e-03
122,1.393815e-04,1.393815e-04
123,4.367419e-03,5.160080e-03
124,3.636364e-03,3.636364e-03
125,9.080427e-03,9.080427e-03
126,2.551221e-02,2.551221e-02
127,1.855771e-02,1.855771e-02
128,3.507625e-02,3.507625e-02
129,1.034207e-02,1.034207e-02
130,1.396825e-03,1.396825e-03
131,1.415348e-02,1.415348e-02
132,8.187937e-03,8.187937e-03
133,3.179025e-03,1.775664e-02
134,1.855771e-02,1.855771e-02
135,2.626263e-02,2.626263e-02
136,1.182105e-02,1.182105e-02
137,5.097886e-03,5.097886e-03
138,8.701087e-02,8.701087e-02
139,1.855771e-02,1.855771e-02
140,3.772968e-02,3.772968e-02
141,5.921107e-03,5.920150e-03
142,2.000331e-03,9.696970e-03
143,1.474507e-03,1.474507e-03
144,1.305889e-02,1.305889e-02
145,7.500000e-04,7.500000e-04
146,2.844444e-02,2.844444e-02
147,4.675644e-02,4.675644e-02
148,5.435065e-02,5.435065e-02
149,2.535763e-02,2.535763e-02
150,1.759365e-02,1.759365e-02
151,1.975880e-02,1.975880e-02
152,6.464646e-03,6.464646e-03
153,5.656566e-02,5.656566e-02
154,1.343101e-02,1.343101e-02
155,8.017518e-03,8.017518e-03
156,1.098626e-02,1.098626e-02
157,3.623920e-03,3.623920e-03
158,9.084093e-04,9.084093e-04
159,9.254808e-03,9.254808e-03
160,7.015122e-02,7.015122e-02
161,8.187937e-03,8.187937e-03
162,4.922509e-02,4.922509e-02
163,6.862745e-04,6.862745e-04
164,5.160452e-03,5.160080e-03
165,8.017518e-03,8.017518e-03
166,3.256579e-02,3.256579e-02
167,1.527179e-02,1.527179e-02
168,1.282705e-02,1.282705e-02
169,1.020408e-02,1.020408e-02
170,5.945221e-03,5.945221e-03
171,6.685884e-03,6.685884e-03
172,6.154051e-03,6.153160e-03
173,6.402994e-03,6.402994e-03
174,7.668912e-04,7.668912e-04
175,5.097886e-03,5.097886e-03
176,2.519758e-02,2.519758e-02
177,6.902761e-02,6.902761e-02
178,1.057363e-03,1.057363e-03
179,2.066500e-03,2.066500e-03
180,4.062963e-02,4.062963e-02
181,1.263393e-03,1.263393e-03
182,1.782385e-02,1.782385e-02
183,6.133397e-03,6.133397e-03
184,2.535763e-02,2.535763e-02
185,2.844444e-02,2.844444e-02
186,5.311515e-03,5.311515e-03
187,4.062963e-02,4.062963e-02
188,1.675132e-02,1.675132e-02
189,8.487328e-03,8.487328e-03
190,2.445527e-02,2.445527e-02
191,1.282705e-02,1.282705e-02
192,5.497148e-04,5.497148e-04
193,3.355919e-03,3.355919e-03
194,2.683139e-03,2.649684e-03
195,1.111111e-03,1.111111e-03
196,2.416570e-02,2.416570e-02
197,2.412281e-03,2.412281e-03
198,1.098626e-02,1.098626e-02
199,1.594933e-02,1.594933e-02
200,2.400460e-02,2.400460e-02
201,7.019943e-02,7.019943e-02
202,1.652818e-02,1.652818e-02
203,6.697792e-03,6.697792e-03
204,3.455947e-02,3.453974e-02
205,1.214091e-02,1.214091e-02
206,2.705882e-02,2.705882e-02
207,1.724079e-02,1.724079e-02
208,4.583333e-02,4.583333e-02
209,5.828041e-03,5.828041e-03
210,2.270126e-03,2.270126e-03
211,5.063291e-03,5.063291e-03
212,2.535763e-02,2.535763e-02
213,4.636781e-03,4.636781e-03
214,8.290404e-03,8.290404e-03
215,1.736111e-03,1.736111e-03
216,4.002761e-03,4.002761e-03
217,4.308699e-03,4.308699e-03
218,6.111111e-03,6.111111e-03
219,1.675132e-02,1.675132e-02
220,3.507625e-02,3.507625e-02
221,4.675644e-02,4.675644e-02
222,9.462585e-03,9.462585e-03
223,9.696970e-03,9.696970e-03
224,1.759365e-02,1.759365e-02
225,1.487500e-02,1.487500e-02
226,3.256579e-02,3.256579e-02
227,1.019535e-03,1.019535e-03
228,1.594933e-02,1.594933e-02
229,4.218995e-02,4.218995e-02
230,7.005527e-03,7.005527e-03
231,4.583333e-02,4.583333e-02
232,4.189290e-03,4.171248e-03
233,4.922509e-02,4.922509e-02
234,6.720385e-02,6.720385e-02
235,1.362220e-02,1.361465e-02
236,3.984071e-03,3.984071e-03
237,2.066500e-03,2.066500e-03
238,7.403442e-03,7.403442e-03
239,2.485736e-02,2.485736e-02
240,3.285812e-02,3.285812e-02
241,5.160452e-03,5.160080e-03
242,9.932981e-03,9.932981e-03
243,1.736111e-03,1.736111e-03
244,2.400460e-02,2.400460e-02
245,1.098626e-02,1.098626e-02
246,1.058596e-03,1.058596e-03
247,4.812160e-02,4.812160e-02
248,6.697792e-03,6.697792e-03
249,1.635933e-02,1.635933e-02
250,3.256579e-02,3.256579e-02
251,9.666371e-03,9.666371e-03
252,1.318439e-03,1.318439e-03
253,9.254808e-03,9.254808e-03
254,1.886145e-02,1.886145e-02
255,3.507625e-02,3.507625e-02
256,1.429492e-02,1.429492e-02
257,1.720409e-02,1.720409e-02
258,3.401361e-02,3.401361e-02
259,6.273125e-03,6.272143e-03
260,5.828041e-03,5.828041e-03
261,4.218995e-02,4.218995e-02
262,2.621781e-02,2.621781e-02
263,2.017110e-02,2.017110e-02
264,1.819066e-02,1.819066e-02
265,2.535763e-02,2.535763e-02
266,1.527179e-02,1.527179e-02
267,2.567165e-02,2.544143e-02
268,5.700705e-03,1.855771e-02
269,9.411422e-04,9.411422e-04
270,1.851852e-03,1.851852e-03
271,2.454806e-02,2.454806e-02
272,6.111111e-03,6.111111e-03
273,2.626568e-02,2.600011e-02
274,5.063291e-03,5.063291e-03
275,4.218995e-02,4.218995e-02
276,3.655259e-02,3.655259e-02
277,5.689006e-02,5.689006e-02
278,1.648318e-03,1.648318e-03
279,1.610745e-03,1.610745e-03
280,2.235198e-03,2.235198e-03
281,3.018648e-03,3.018648e-03
282,2.000331e-03,1.093916e-02
283,1.083710e-02,1.083710e-02
284,6.003899e-03,6.003899e-03
285,4.675644e-02,4.675644e-02
286,1.362220e-02,1.361465e-02
287,9.370536e-03,9.370536e-03
288,5.063291e-03,5.063291e-03
289,1.340266e-02,2.400460e-02
290,1.375906e-02,1.375520e-02
291,1.779550e-03,1.779550e-03
292,3.355919e-03,3.355919e-03
293,4.964726e-04,4.952691e-04
294,1.594933e-02,1.594933e-02
295,5.952043e-03,5.952043e-03
296,1.736111e-03,1.736111e-03
297,1.343101e-02,1.343101e-02
298,8.574040e-04,8.574040e-04
299,7.019973e-03,9.537118e-03
300,2.527151e-02,2.527151e-02
301,1.305889e-02,1.305889e-02
302,6.198929e-03,6.198929e-03
303,9.696970e-03,9.696970e-03
304,1.527179e-02,1.527179e-02
305,1.362220e-02,1.361465e-02
306,5.689006e-02,5.689006e-02
307,4.812160e-02,4.812160e-02
308,6.259452e-03,6.259452e-03
309,1.034207e-02,1.034207e-02
310,2.820840e-04,2.820840e-04
311,3.394068e-03,3.394068e-03
312,3.655259e-02,3.655259e-02
313,6.433753e-03,6.433753e-03
314,4.636781e-03,4.636781e-03
315,2.551221e-02,2.551221e-02
316,2.409898e-04,2.409898e-04
317,6.105006e-03,6.105006e-03
318,5.656566e-02,5.656566e-02
319,2.399799e-03,2.398587e-03
320,3.241441e-02,3.241441e-02
321,1.819066e-02,1.819066e-02
322,4.308699e-03,4.308699e-03
