trajectory,pattern,n_genes,is_total_order,s_exp,n_patients,pval,wy_threshold,mined_by_multimastro,seeds_hit,seeds_hit_ids,mined_in_seeds,mined_in_seeds_ids
CBFB < GATA3,CBFB->-GATA3,2,yes,21.000000,21,1.255216e-04,3.693680e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
CBFB < MAP3K1 < PIK3CA,CBFB->-MAP3K1 CBFB->-PIK3CA MAP3K1->-PIK3CA,3,yes,6.000000,6,2.095345e-04,3.693680e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
MEN1 < GATA3,MEN1->-GATA3,2,yes,12.000000,12,2.441406e-04,3.693680e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
CDH1 < PIK3CA < FOXA1,CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,yes,8.000000,8,3.053590e-04,3.693680e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
TP53 < ALK,TP53->-ALK,2,yes,11.697406,12,3.450908e-04,3.693680e-04,yes,4,1;5;6;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < RICTOR,TP53->-RICTOR,2,yes,8.678626,9,3.464814e-04,3.693680e-04,yes,4,4;5;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2A,TP53->-KMT2A,2,yes,13.000000,13,3.527185e-04,3.693680e-04,yes,4,3;4;7;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < BARD1,TP53->-BARD1,2,yes,10.000000,10,3.622668e-04,3.693680e-04,yes,5,2;3;6;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < NOTCH4,TP53->-NOTCH4,2,yes,10.697674,11,3.355194e-04,3.693680e-04,yes,6,1;2;3;5;6;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < NSD1,TP53->-NSD1,2,yes,13.000000,14,3.692090e-04,3.693680e-04,yes,6,2;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < MAP3K1,TP53->-MAP3K1,2,yes,23.903146,25,3.692838e-04,3.693680e-04,yes,6,0;1;3;5;7;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < FAT1,TP53->-FAT1,2,yes,18.000000,18,3.536572e-04,3.693680e-04,yes,7,0;2;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTPRD,TP53->-PTPRD,2,yes,13.903458,15,3.430316e-04,3.693680e-04,yes,8,1;2;3;4;5;6;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTPRS,TP53->-PTPRS,2,yes,10.665753,11,3.379466e-04,3.693680e-04,yes,9,0;1;2;3;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < FLT4,TP53->-FLT4,2,yes,12.000000,12,3.382085e-04,3.693680e-04,yes,9,0;1;2;3;4;5;6;7;9,10,0;1;2;3;4;5;6;7;8;9
CBFB < PIK3CA,CBFB->-PIK3CA,2,yes,32.500000,33,2.541932e-06,3.693680e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
PIK3CA < SF3B1,PIK3CA->-SF3B1,2,yes,19.000000,19,5.628336e-06,3.693680e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
AKT1 < TP53,AKT1->-TP53,2,yes,19.000000,19,1.119178e-05,3.693680e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
CDH1 < PIK3CA,CDH1->-PIK3CA,2,yes,100.000000,101,3.332223e-04,3.693680e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2D,TP53->-KMT2D,2,yes,24.000000,24,3.337040e-04,3.693680e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < ARID2,TP53->-ARID2,2,yes,15.000000,15,3.339778e-04,3.693680e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2C,TP53->-KMT2C,2,yes,29.400000,30,3.397892e-04,3.693680e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < ERBB3,TP53->-ERBB3,2,yes,11.000000,11,3.420638e-04,3.693680e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < SETD2,TP53->-SETD2,2,yes,10.750000,11,3.424960e-04,3.693680e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTEN,TP53->-PTEN,2,yes,38.000000,38,3.430491e-04,3.693680e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
