trajectory,pattern,n_genes,is_total_order,s_exp,n_patients,pval,wy_threshold,mined_by_multimastro,seeds_hit,seeds_hit_ids,mined_in_seeds,mined_in_seeds_ids
MEN1 < GATA3,MEN1->-GATA3,2,yes,12.000000,12,2.441406e-04,4.111279e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
CBFB < GATA3,CBFB->-GATA3,2,yes,21.000000,21,3.393179e-04,4.111279e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
CDH1 < PIK3CA < FOXA1,CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,yes,8.000000,8,3.471039e-04,4.111279e-04,yes,0,,10,0;1;2;3;4;5;6;7;8;9
TP53 < ALK,TP53->-ALK,2,yes,11.697406,12,3.982520e-04,4.111279e-04,yes,4,1;5;6;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < NSD1,TP53->-NSD1,2,yes,13.000000,14,3.403731e-04,4.111279e-04,yes,6,2;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < NOTCH4,TP53->-NOTCH4,2,yes,10.697674,11,3.540691e-04,4.111279e-04,yes,6,1;2;3;5;6;8,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTPRS,TP53->-PTPRS,2,yes,10.665753,11,3.770173e-04,4.111279e-04,yes,9,0;1;2;3;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9
CBFB < PIK3CA,CBFB->-PIK3CA,2,yes,32.500000,33,5.003879e-06,4.111279e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
PIK3CA < SF3B1,PIK3CA->-SF3B1,2,yes,19.000000,19,2.452104e-05,4.111279e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
AKT1 < TP53,AKT1->-TP53,2,yes,19.000000,19,1.258357e-04,4.111279e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
CDH1 < PIK3CA,CDH1->-PIK3CA,2,yes,100.000000,101,3.332223e-04,4.111279e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < ARID2,TP53->-ARID2,2,yes,15.000000,15,3.371991e-04,4.111279e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < KMT2D,TP53->-KMT2D,2,yes,24.000000,24,3.381294e-04,4.111279e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < ERBB3,TP53->-ERBB3,2,yes,11.000000,11,3.630294e-04,4.111279e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
TP53 < PTEN,TP53->-PTEN,2,yes,38.000000,38,4.026039e-04,4.111279e-04,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9
