trajectory,pattern,n_genes,is_total_order,s_exp,n_patients,pval,wy_threshold,mined_by_multimastro,seeds_hit,seeds_hit_ids,mined_in_seeds,mined_in_seeds_ids,bl_min_pval,bl_min_pval_seed,bl_min_pval_seed_threshold,bl_s_exp_at_that_seed
TP53 < PTPRS,TP53->-PTPRS,2,yes,10.665753,11,3.377412e-04,4.782517e-05,yes,1,7,10,0;1;2;3;4;5;6;7;8;9,2.488564e-05,7,3.374614e-05,11.000000
TP53 < KMT2C,TP53->-KMT2C,2,yes,29.400000,30,3.397892e-04,4.782517e-05,yes,1,0,10,0;1;2;3;4;5;6;7;8;9,8.766553e-06,0,3.574346e-05,30.000000
TP53 < MAP3K1,TP53->-MAP3K1,2,yes,23.903146,25,3.667635e-04,4.782517e-05,yes,1,7,10,0;1;2;3;4;5;6;7;8;9,2.877982e-05,7,3.374614e-05,25.000000
PIK3CA < TP53 < {BRCA1 | RICTOR},BRCA1-/-RICTOR PIK3CA->-BRCA1 PIK3CA->-RICTOR PIK3CA->-TP53 TP53->-BRCA1 TP53->-RICTOR,4,no,,,,4.782517e-05,no,1,0,1,0,3.149408e-05,0,3.574346e-05,2.000000
CDH1 < {PIK3CA | TP53} < GATA3,CDH1->-GATA3 CDH1->-PIK3CA CDH1->-TP53 GATA3-/-TP53 PIK3CA-/-TP53 PIK3CA->-GATA3,4,no,,,,4.782517e-05,no,1,1,1,1,2.250900e-05,1,2.608646e-05,2.000000
CDH1 < PIK3CA < KMT2C < RFWD2,CDH1->-KMT2C CDH1->-PIK3CA CDH1->-RFWD2 KMT2C->-RFWD2 PIK3CA->-KMT2C PIK3CA->-RFWD2,4,yes,,,,4.782517e-05,no,1,5,4,1;4;5;7,4.253360e-05,5,4.464286e-05,3.000000
{PIK3CA | RFWD2} < {ATR | RICTOR},ATR-/-PIK3CA ATR-/-RICTOR PIK3CA-/-RFWD2 PIK3CA->-RICTOR RFWD2-/-RICTOR RFWD2->-ATR,4,no,,,,4.782517e-05,no,1,3,1,3,2.088663e-05,3,3.656813e-05,2.000000
TP53 < ALK,TP53->-ALK,2,yes,11.697406,12,3.439769e-04,4.782517e-05,yes,2,5;6,10,0;1;2;3;4;5;6;7;8;9,3.105710e-05,6,3.267974e-05,12.000000
TP53 < {ATR | CARD11},ATR-/-CARD11 TP53->-ATR TP53->-CARD11,3,no,,,,4.782517e-05,no,2,1;7,5,0;1;4;7;9,1.491337e-05,1,2.608646e-05,3.000000
TP53 < NOTCH4,TP53->-NOTCH4,2,yes,10.697674,11,3.360650e-04,4.782517e-05,yes,3,1;2;5,10,0;1;2;3;4;5;6;7;8;9,1.842987e-05,1,2.608646e-05,11.000000
TP53 < PTPRD,TP53->-PTPRD,2,yes,13.903458,15,3.428128e-04,4.782517e-05,yes,3,4;6;8,10,0;1;2;3;4;5;6;7;8;9,2.205360e-06,6,3.267974e-05,15.000000
TP53 < NSD1,TP53->-NSD1,2,yes,13.000000,14,3.678143e-04,4.782517e-05,yes,4,4;5;6;7,10,0;1;2;3;4;5;6;7;8;9,9.300595e-06,7,3.374614e-05,14.000000
TP53 < PTEN,TP53->-PTEN,2,yes,38.000000,38,3.430491e-04,4.782517e-05,yes,8,0;2;3;4;5;6;7;8,10,0;1;2;3;4;5;6;7;8;9,1.837092e-05,0,3.574346e-05,38.000000
CDH1 < PIK3CA,CDH1->-PIK3CA,2,yes,100.000000,101,3.332223e-04,4.782517e-05,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9,4.112431e-12,4,3.576040e-05,101.000000
TP53 < KMT2D,TP53->-KMT2D,2,yes,24.000000,24,3.337104e-04,4.782517e-05,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9,1.279239e-06,5,4.464286e-05,24.000000
TP53 < ARID2,TP53->-ARID2,2,yes,15.000000,15,3.339279e-04,4.782517e-05,yes,10,0;1;2;3;4;5;6;7;8;9,10,0;1;2;3;4;5;6;7;8;9,3.740182e-06,1,2.608646e-05,15.000000
