k_values,n_nodes,n_resolved_rel,n_edges_full,support_trees,support_patients,s_exp,s_theta,mastro_pval_exp,mastro_pval_theta,pottr_pval_perm
2,5,4,5,4,2,2.000000,2,5.447276e-04,5.447276e-04,4.062047342112614e-09
"3,4",3,2,3,6,4,4.000000,4,8.210333e-02,7.921105e-02,0.014575042897642068
5,3,2,3,7,6,6.000000,6,2.095345e-04,2.061855e-04,0.00013511272814738606
"6,7,8",3,2,3,9,8,8.000000,8,9.490482e-04,9.455568e-04,0.0005009912339167043
"9,11,15,18,20,21,27",2,1,2,38,27,27.000000,27,2.295692e-03,1.737013e-03,0.00043689169285211483
10,2,1,2,18,10,10.000000,10,6.097147e-04,5.569064e-04,9.47929543931824e-06
12,2,1,2,23,15,15.000000,15,1.610643e-06,1.610643e-06,1.567672797074176e-09
"13,16",2,1,2,25,19,19.000000,19,7.571059e-04,6.594040e-04,0.0007679915930224977
"14,24,26,30,35,37,38,42,43,44,47,49,50",2,1,2,131,101,100.500000,100,1.844250e-12,1.016412e-12,2.311450195744877e-17
17,2,1,2,26,21,21.000000,21,1.184444e-04,1.091260e-04,1.4358829179103062e-05
19,2,1,2,37,24,24.000000,24,4.763439e-05,3.336845e-05,9.735095334192483e-08
"22,23",2,1,2,40,27,27.000000,27,3.737935e-02,2.502887e-02,0.0014104800926807658
25,2,1,2,34,26,25.500000,25,9.587172e-02,1.079597e-01,0.09839936582431756
"28,46",2,1,2,60,49,48.000000,47,3.030669e-02,3.274559e-02,0.013073001479815645
29,2,1,2,52,38,38.000000,38,1.051794e-05,6.920426e-06,2.1288831936347117e-07
"31,36,48",2,1,2,99,69,68.000000,67,6.347839e-01,5.143091e-01,0.5350357826299635
"32,33,39,40,41,45",2,1,2,124,85,84.000000,83,1.052123e-02,4.865993e-03,0.0005464801669965506
34,2,1,2,46,37,35.500000,34,6.624181e-01,6.972012e-01,0.7309427708503152
