pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
APC->-MGA MGA->-ARID2 PIK3CA->-TP53 TP53->-APC,5,4,2.000000,2,5.447276e-04,5.447276e-04
NF1->-TP53 TP53->-PIK3CA,3,2,4.000000,4,8.210333e-02,7.921105e-02
CBFB->-MAP3K1 MAP3K1->-PIK3CA,3,2,6.000000,6,2.095345e-04,2.061855e-04
CDH1->-PIK3CA PIK3CA->-MAP3K1,3,2,8.000000,8,9.490482e-04,9.455568e-04
TP53->-NF1,2,1,27.000000,27,2.295692e-03,1.737013e-03
TP53->-ATRX,2,1,10.000000,10,6.097147e-04,5.569064e-04
TP53->-ARID2,2,1,15.000000,15,1.610643e-06,1.610643e-06
PIK3CA->-FAT1,2,1,19.000000,19,7.571059e-04,6.594040e-04
CDH1->-PIK3CA,2,1,100.500000,100,1.844250e-12,1.016412e-12
CBFB->-GATA3,2,1,21.000000,21,1.184444e-04,1.091260e-04
TP53->-MAP3K1,2,1,24.000000,24,4.763439e-05,3.336845e-05
PIK3CA->-ESR1,2,1,27.000000,27,3.737935e-02,2.502887e-02
CDH1->-TP53,2,1,25.500000,25,9.587172e-02,1.079597e-01
MAP3K1->-PIK3CA,2,1,48.000000,47,3.030669e-02,3.274559e-02
TP53->-PTEN,2,1,38.000000,38,1.051794e-05,6.920426e-06
PIK3CA->-TP53,2,1,68.000000,67,6.347839e-01,5.143091e-01
TP53->-PIK3CA,2,1,84.000000,83,1.052123e-02,4.865993e-03
GATA3->-PIK3CA,2,1,35.500000,34,6.624181e-01,6.972012e-01
