pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,101.000000,101,2.813798e-12,
TP53->-PIK3CA,2,1,85.000000,85,9.922059e-03,
PIK3CA->-TP53,2,1,69.000000,69,6.069201e-01,
MAP3K1->-PIK3CA,2,1,49.000000,49,2.563949e-02,
PIK3CA->-GATA3,2,1,38.000000,38,4.652563e-01,
TP53->-PTEN,2,1,38.000000,38,1.556156e-05,
GATA3->-PIK3CA,2,1,37.000000,37,5.548432e-01,
PIK3CA->-KMT2C,2,1,34.000000,34,1.914339e-02,
PIK3CA->-MAP3K1,2,1,33.000000,33,9.445499e-01,
CBFB->-PIK3CA,2,1,33.000000,33,1.746838e-06,
TP53->-KMT2C,2,1,29.000000,29,4.246240e-05,
PIK3CA->-KMT2C TP53->-KMT2C TP53->-PIK3CA,3,3,5.000000,5,3.562357e-02,
PIK3CA->-KMT2C PIK3CA->-TP53 TP53->-KMT2C,3,3,3.000000,3,3.151258e-01,
PIK3CA->-CDH1,2,1,29.000000,29,1.000000e+00,
PIK3CA->-FOXA1,2,1,27.000000,27,5.605559e-03,
PIK3CA->-ESR1,2,1,27.000000,27,5.839138e-02,
TP53->-NF1,2,1,27.000000,27,3.536306e-03,
CDH1->-TP53,2,1,25.000000,25,1.334690e-01,
CDH1->-PIK3CA CDH1->-TP53 TP53->-PIK3CA,3,3,2.000000,2,6.571390e-01,
CDH1->-PIK3CA CDH1->-TP53 PIK3CA->-TP53,3,3,3.000000,3,3.660780e-01,
TP53->-MAP3K1,2,1,24.000000,24,1.099110e-04,
MAP3K1->-PIK3CA TP53->-MAP3K1 TP53->-PIK3CA,3,3,3.000000,3,1.412536e-01,
PIK3CA->-MAP3K1 PIK3CA->-TP53 TP53->-MAP3K1,3,3,2.000000,2,4.005427e-01,
TP53->-KMT2D,2,1,24.000000,24,3.188464e-06,
CDH1->-KMT2C,2,1,23.000000,23,3.533571e-04,
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,2.328100e-03,
CDH1->-KMT2C CDH1->-TP53 TP53->-KMT2C,3,3,2.000000,2,3.351297e-01,
TP53->-RB1,2,1,21.000000,21,5.597395e-03,
CBFB->-GATA3,2,1,21.000000,21,2.657863e-04,
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,6.081315e-02,
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,6.000000,6,1.631756e-02,
KMT2C->-PIK3CA,2,1,20.000000,20,9.577476e-01,
KMT2C->-PIK3CA TP53->-KMT2C TP53->-PIK3CA,3,3,3.000000,3,3.151258e-01,
CDH1->-KMT2C CDH1->-PIK3CA KMT2C->-PIK3CA,3,3,4.000000,4,1.519692e-01,
PIK3CA->-ARID1A,2,1,20.000000,20,2.481105e-01,
CDH1->-FOXA1,2,1,19.000000,19,6.874327e-04,
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,3.450441e-04,
CDH1->-MAP3K1,2,1,19.000000,19,9.289267e-04,
CDH1->-MAP3K1 CDH1->-PIK3CA MAP3K1->-PIK3CA,3,3,4.000000,4,2.261191e-01,
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,1.175986e-03,
CDH1->-MAP3K1 CDH1->-TP53 TP53->-MAP3K1,3,3,3.000000,3,1.620370e-02,
PIK3CA->-SF3B1,2,1,19.000000,19,1.700719e-05,
CDH1->-ERBB2,2,1,19.000000,19,6.999363e-02,
PIK3CA->-FAT1,2,1,19.000000,19,8.889722e-04,
AKT1->-TP53,2,1,19.000000,19,4.050530e-05,
TP53->-CDH1,2,1,19.000000,19,7.573487e-01,
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,5.029338e-02,
CDH1->-KMT2C TP53->-CDH1 TP53->-KMT2C,3,3,2.000000,2,3.351297e-01,
CDH1->-TBX3,2,1,18.000000,18,2.736882e-02,
TP53->-FAT1,2,1,18.000000,18,6.253017e-05,
PIK3CA->-FAT1 TP53->-FAT1 TP53->-PIK3CA,3,3,4.000000,4,3.439264e-02,
