rank,pvalue,fdr_exp
1,1.844250e-12,0.000000
2,8.241241e-07,0.000500
3,1.610643e-06,0.000667
4,2.134973e-06,0.000625
5,3.081454e-06,0.000800
6,5.628336e-06,0.001250
7,6.298816e-06,0.001357
8,7.504473e-06,0.001563
9,1.051794e-05,0.001778
10,1.145815e-05,0.002100
11,1.886952e-05,0.003000
12,1.907902e-05,0.003917
13,1.927915e-05,0.003654
14,3.258957e-05,0.005429
15,3.443261e-05,0.005167
16,4.148317e-05,0.006219
17,4.262773e-05,0.006176
18,4.616472e-05,0.006722
19,4.627323e-05,0.006368
20,4.763439e-05,0.006225
21,5.146671e-05,0.011238
22,5.632716e-05,0.011364
23,1.030067e-04,0.023087
24,1.184444e-04,0.025437
25,1.390261e-04,0.033940
26,1.531047e-04,0.049288
27,1.568407e-04,0.052093
28,1.583842e-04,0.052286
29,1.596240e-04,0.052017
30,1.605739e-04,0.051450
31,1.746290e-04,0.063016
32,1.775822e-04,0.062453
33,2.095345e-04,0.065758
34,2.259598e-04,0.065015
35,2.376001e-04,0.064786
36,2.384490e-04,0.063069
37,2.404139e-04,0.061392
38,2.422879e-04,0.059908
39,2.441406e-04,0.058564
40,3.053590e-04,0.061325
41,3.265767e-04,0.061402
42,3.590064e-04,0.062786
43,3.968254e-04,0.064419
44,4.976497e-04,0.073420
45,5.187747e-04,0.073522
46,5.413102e-04,0.073011
47,6.062528e-04,0.082702
48,6.097147e-04,0.081052
49,6.194794e-04,0.084020
50,6.455951e-04,0.086470
51,7.275132e-04,0.094294
52,7.440476e-04,0.096096
53,7.543781e-04,0.095321
54,7.571059e-04,0.094102
55,7.697482e-04,0.097582
56,7.804695e-04,0.100750
57,7.887355e-04,0.102763
58,8.140174e-04,0.104095
59,8.403361e-04,0.104678
60,8.492327e-04,0.103367
61,8.978676e-04,0.120631
62,9.043040e-04,0.119589
63,9.093915e-04,0.120452
64,9.424603e-04,0.123688
65,9.490482e-04,0.122023
66,1.223402e-03,0.147295
67,1.224181e-03,0.149634
68,1.233501e-03,0.156910
69,1.233501e-03,0.156910
70,1.233501e-03,0.156910
71,1.233501e-03,0.156910
72,1.233501e-03,0.156910
73,1.251385e-03,0.161580
74,1.251385e-03,0.161580
75,1.251385e-03,0.161580
76,1.260912e-03,0.175247
77,1.260912e-03,0.175247
78,1.343612e-03,0.191667
79,1.450935e-03,0.194424
80,1.610874e-03,0.253691
81,1.610874e-03,0.253691
82,1.623441e-03,0.251445
83,1.627208e-03,0.248482
84,1.633453e-03,0.245565
85,1.636905e-03,0.248500
86,1.636905e-03,0.248500
87,1.664402e-03,0.249080
88,1.698370e-03,0.281642
89,1.701389e-03,0.285775
90,1.701389e-03,0.285775
91,1.701389e-03,0.285775
92,1.736111e-03,0.310617
93,1.736111e-03,0.310617
94,1.736111e-03,0.310617
95,1.736111e-03,0.310617
96,1.736111e-03,0.310617
97,1.736111e-03,0.310617
98,1.736111e-03,0.310617
99,1.827356e-03,0.310192
100,1.929012e-03,0.310355
101,2.079354e-03,0.311005
102,2.154576e-03,0.310319
103,2.170139e-03,0.307961
104,2.197831e-03,0.305620
105,2.295692e-03,0.306062
106,2.311061e-03,0.303259
107,2.395125e-03,0.303023
108,2.406563e-03,0.300551
109,2.496134e-03,0.299583
110,2.561070e-03,0.299205
111,2.597666e-03,0.297505
112,2.742790e-03,0.300371
113,2.777778e-03,0.300456
114,2.829396e-03,0.299123
115,3.007248e-03,0.303596
116,3.208929e-03,0.309366
117,3.240741e-03,0.307368
118,3.256457e-03,0.305097
119,3.285465e-03,0.303059
120,3.400679e-03,0.304425
121,3.401361e-03,0.302421
122,3.472222e-03,0.302139
123,3.479112e-03,0.300329
124,3.536381e-03,0.299798
125,3.567848e-03,0.297600
126,3.634371e-03,0.296948
127,3.778655e-03,0.300315
128,3.814077e-03,0.298801
129,3.820330e-03,0.296694
130,3.877507e-03,0.295958
131,3.892299e-03,0.293870
132,3.901116e-03,0.291682
133,3.915344e-03,0.290568
134,3.972222e-03,0.290478
135,4.009187e-03,0.288856
136,4.014504e-03,0.286897
137,4.053438e-03,0.285675
138,4.066486e-03,0.283728
139,4.111243e-03,0.284424
140,4.116193e-03,0.282457
141,4.133598e-03,0.281610
142,4.327125e-03,0.284303
143,4.344014e-03,0.282608
144,4.520833e-03,0.291396
145,4.583333e-03,0.294755
146,4.599371e-03,0.293127
147,4.609843e-03,0.291384
148,4.613489e-03,0.289456
149,4.629630e-03,0.290720
150,4.629630e-03,0.290720
151,4.629630e-03,0.290720
152,4.629630e-03,0.290720
153,4.707402e-03,0.290644
154,4.981884e-03,0.298779
155,4.991319e-03,0.299616
156,5.029108e-03,0.298519
157,5.063657e-03,0.298717
158,5.063657e-03,0.298717
159,5.063657e-03,0.298717
160,5.213675e-03,0.298759
161,5.314251e-03,0.298770
162,5.345272e-03,0.297515
163,5.430691e-03,0.297340
164,5.486968e-03,0.296482
165,5.500000e-03,0.293684
166,5.500000e-03,0.293684
167,5.705663e-03,0.299374
168,5.829385e-03,0.299280
169,5.958333e-03,0.298932
170,5.964342e-03,0.297824
171,6.016732e-03,0.296632
172,6.018519e-03,0.295573
173,6.114051e-03,0.295566
174,6.250000e-03,0.294994
175,6.345300e-03,0.294069
176,6.385352e-03,0.293702
177,6.547332e-03,0.293297
178,6.578947e-03,0.292357
179,6.666667e-03,0.292003
180,6.684028e-03,0.291050
181,6.686190e-03,0.289666
182,6.734007e-03,0.289753
183,6.805556e-03,0.289907
184,6.944444e-03,0.295304
185,6.981188e-03,0.294735
186,7.058856e-03,0.293887
187,7.093254e-03,0.293265
188,7.203490e-03,0.292205
189,7.253311e-03,0.291357
190,7.291667e-03,0.290013
191,7.377686e-03,0.289874
192,7.392914e-03,0.288474
193,7.423128e-03,0.287383
194,7.551232e-03,0.287626
195,7.589286e-03,0.286682
196,7.622150e-03,0.285987
197,7.806131e-03,0.287046
198,7.834282e-03,0.286523
199,7.845875e-03,0.285631
200,7.850796e-03,0.284260
201,7.936508e-03,0.284136
202,7.936508e-03,0.284136
203,8.019115e-03,0.284305
204,8.060606e-03,0.284468
205,8.251532e-03,0.287756
206,8.267196e-03,0.287563
207,8.333333e-03,0.289430
208,8.333333e-03,0.289430
209,8.614969e-03,0.291110
210,8.627164e-03,0.290402
211,8.737420e-03,0.290820
212,8.778623e-03,0.289979
213,8.909675e-03,0.290472
214,9.020714e-03,0.290386
215,9.128874e-03,0.291105
216,9.185773e-03,0.291998
217,9.201116e-03,0.291212
218,9.424603e-03,0.293594
219,9.427609e-03,0.292829
220,9.608277e-03,0.294011
221,9.619753e-03,0.292740
222,9.722222e-03,0.293630
223,9.722222e-03,0.293630
224,9.918351e-03,0.293967
225,9.920635e-03,0.293598
226,1.014109e-02,0.295655
227,1.015188e-02,0.295110
228,1.015684e-02,0.293899
229,1.016603e-02,0.293386
230,1.031951e-02,0.293302
231,1.039595e-02,0.293576
232,1.041667e-02,0.293248
233,1.050195e-02,0.295017
234,1.051702e-02,0.293825
235,1.052123e-02,0.292709
236,1.057171e-02,0.292123
237,1.065732e-02,0.291580
238,1.087289e-02,0.292508
239,1.106999e-02,0.293990
240,1.111111e-02,0.295446
241,1.111111e-02,0.295446
242,1.111111e-02,0.295446
243,1.111974e-02,0.294683
244,1.126682e-02,0.294932
245,1.127339e-02,0.293800
246,1.142857e-02,0.293563
247,1.148432e-02,0.295055
248,1.172690e-02,0.298899
249,1.178824e-02,0.298173
250,1.190476e-02,0.298679
251,1.190476e-02,0.298679
252,1.219537e-02,0.301105
253,1.221001e-02,0.300273
254,1.227313e-02,0.299474
255,1.227679e-02,0.298892
256,1.241898e-02,0.299426
257,1.252963e-02,0.300944
258,1.252963e-02,0.300944
259,1.261693e-02,0.302834
260,1.264368e-02,0.301762
261,1.269841e-02,0.302362
262,1.275664e-02,0.302683
263,1.276786e-02,0.302663
264,1.277018e-02,0.302716
265,1.286759e-02,0.302934
266,1.289683e-02,0.305398
267,1.302980e-02,0.306590
268,1.319444e-02,0.310545
269,1.319444e-02,0.310545
270,1.325046e-02,0.310291
271,1.327256e-02,0.313239
272,1.327256e-02,0.313239
273,1.334656e-02,0.313344
274,1.342593e-02,0.313393
275,1.342593e-02,0.313393
276,1.347750e-02,0.312996
277,1.377866e-02,0.317894
278,1.382716e-02,0.317975
279,1.388889e-02,0.323021
280,1.388889e-02,0.323021
281,1.388889e-02,0.323021
282,1.388889e-02,0.323021
283,1.388889e-02,0.323021
284,1.393202e-02,0.322037
285,1.393893e-02,0.321179
286,1.414141e-02,0.328776
287,1.420330e-02,0.328109
288,1.420330e-02,0.328109
289,1.466843e-02,0.330801
290,1.472207e-02,0.330074
291,1.475269e-02,0.329050
292,1.499546e-02,0.330070
293,1.520163e-02,0.331266
294,1.523920e-02,0.330580
295,1.527778e-02,0.333668
296,1.529444e-02,0.332671
297,1.560190e-02,0.336463
298,1.562500e-02,0.336190
299,1.574676e-02,0.336649
300,1.580599e-02,0.336442
301,1.581101e-02,0.335410
302,1.587302e-02,0.337703
303,1.587302e-02,0.337703
304,1.587302e-02,0.337703
305,1.587302e-02,0.337703
306,1.589733e-02,0.340141
307,1.592693e-02,0.339437
308,1.592693e-02,0.339437
309,1.592693e-02,0.339437
310,1.595349e-02,0.340758
311,1.601328e-02,0.340090
312,1.607790e-02,0.338791
313,1.607790e-02,0.338791
314,1.609707e-02,0.339389
315,1.610195e-02,0.342744
316,1.613613e-02,0.342465
317,1.620370e-02,0.344322
318,1.625230e-02,0.344039
319,1.626481e-02,0.343030
320,1.639040e-02,0.343247
321,1.651589e-02,0.344931
322,1.657051e-02,0.347911
323,1.657051e-02,0.347911
324,1.657051e-02,0.347911
325,1.657051e-02,0.347911
326,1.657051e-02,0.347911
327,1.657051e-02,0.347911
328,1.657051e-02,0.347911
329,1.657051e-02,0.347911
330,1.657051e-02,0.347911
331,1.666667e-02,0.348012
332,1.678877e-02,0.349845
333,1.686483e-02,0.349230
334,1.687076e-02,0.348278
335,1.691468e-02,0.347431
336,1.697531e-02,0.347289
337,1.713564e-02,0.346427
338,1.718123e-02,0.347265
339,1.727053e-02,0.347794
340,1.733520e-02,0.347690
341,1.736111e-02,0.348516
342,1.736111e-02,0.348516
343,1.746032e-02,0.352140
344,1.746032e-02,0.352140
345,1.756304e-02,0.352962
346,1.757063e-02,0.352013
347,1.763668e-02,0.352680
348,1.770833e-02,0.352718
349,1.782407e-02,0.353413
350,1.782662e-02,0.353812
351,1.782662e-02,0.353812
352,1.785714e-02,0.354305
353,1.785714e-02,0.354305
354,1.805556e-02,0.364535
355,1.805556e-02,0.364535
356,1.808128e-02,0.363538
357,1.819292e-02,0.367028
358,1.819292e-02,0.367028
359,1.831313e-02,0.367047
360,1.855967e-02,0.369657
361,1.871275e-02,0.369229
362,1.876095e-02,0.369106
363,1.893117e-02,0.370129
364,1.906888e-02,0.369676
365,1.909722e-02,0.368419
366,1.909722e-02,0.368419
367,1.925357e-02,0.368474
368,1.944444e-02,0.368878
369,1.948158e-02,0.368049
370,1.970899e-02,0.369311
371,1.981093e-02,0.368840
372,1.990445e-02,0.368183
373,2.002216e-02,0.367605
374,2.003086e-02,0.367167
375,2.040684e-02,0.369167
376,2.064274e-02,0.370327
377,2.083333e-02,0.370093
378,2.083333e-02,0.370093
379,2.084057e-02,0.369245
380,2.100390e-02,0.371483
381,2.100390e-02,0.371483
382,2.100390e-02,0.371483
383,2.100390e-02,0.371483
384,2.100390e-02,0.371483
385,2.100390e-02,0.371483
386,2.100390e-02,0.371483
387,2.100390e-02,0.371483
388,2.101608e-02,0.370799
389,2.111111e-02,0.371060
390,2.119976e-02,0.371153
391,2.121829e-02,0.371218
392,2.121829e-02,0.371218
393,2.138889e-02,0.373140
394,2.155563e-02,0.373245
395,2.155955e-02,0.373333
396,2.158816e-02,0.373110
397,2.160263e-02,0.372290
398,2.165909e-02,0.377735
399,2.182540e-02,0.382950
400,2.182540e-02,0.382950
401,2.182540e-02,0.382950
402,2.182540e-02,0.382950
403,2.182540e-02,0.382950
404,2.184236e-02,0.391382
405,2.184236e-02,0.391382
406,2.184236e-02,0.391382
407,2.192266e-02,0.391467
408,2.198068e-02,0.390436
409,2.198068e-02,0.390436
410,2.204586e-02,0.397006
411,2.204586e-02,0.397006
412,2.204586e-02,0.397006
413,2.204586e-02,0.397006
414,2.204586e-02,0.397006
415,2.209269e-02,0.397115
416,2.209269e-02,0.397115
417,2.212586e-02,0.396430
418,2.222222e-02,0.397298
419,2.251157e-02,0.397807
420,2.257800e-02,0.398143
421,2.260037e-02,0.397276
422,2.263753e-02,0.397018
423,2.273378e-02,0.396507
424,2.275794e-02,0.396031
425,2.277778e-02,0.395716
426,2.292109e-02,0.395608
427,2.296182e-02,0.402904
