rank,pvalue,fdr_theta
1,1.016412e-12,0.000000
2,6.641483e-07,0.000250
3,1.610643e-06,0.000500
4,4.937239e-06,0.001250
5,5.274430e-06,0.001100
6,6.298816e-06,0.001250
7,6.920426e-06,0.001357
8,7.467833e-06,0.001187
9,7.504473e-06,0.001056
10,1.077329e-05,0.001200
11,1.717320e-05,0.002045
12,1.927915e-05,0.003333
13,2.464556e-05,0.003577
14,2.468999e-05,0.003321
15,3.336845e-05,0.004367
16,3.443261e-05,0.004188
17,4.148317e-05,0.005088
18,4.152636e-05,0.004806
19,4.262773e-05,0.004868
20,1.091260e-04,0.025100
21,1.442256e-04,0.044833
22,1.510149e-04,0.052386
23,1.524848e-04,0.052239
24,1.566490e-04,0.056063
25,1.584476e-04,0.056420
26,1.643636e-04,0.063115
27,1.679232e-04,0.065111
28,1.807319e-04,0.070375
29,2.061855e-04,0.071379
30,2.375894e-04,0.072500
31,2.404139e-04,0.070274
32,2.422879e-04,0.068187
33,2.441406e-04,0.066167
34,3.052904e-04,0.068603
35,3.265767e-04,0.068186
36,3.425223e-04,0.067097
37,3.968254e-04,0.070689
38,4.655350e-04,0.074697
39,4.815244e-04,0.074628
40,4.883993e-04,0.075125
41,4.921514e-04,0.073476
42,4.976497e-04,0.072440
43,5.187747e-04,0.072267
44,5.254219e-04,0.070898
45,5.569064e-04,0.071644
46,5.688474e-04,0.074978
47,5.893898e-04,0.076426
48,5.986001e-04,0.075344
49,6.317646e-04,0.081561
50,6.594040e-04,0.084970
51,6.909207e-04,0.086882
52,7.275132e-04,0.087048
53,7.440476e-04,0.088698
54,7.804695e-04,0.098056
55,7.887355e-04,0.100027
56,8.049231e-04,0.099625
57,8.403361e-04,0.101465
58,8.543084e-04,0.112724
59,8.978676e-04,0.117627
60,9.043040e-04,0.116158
61,9.093915e-04,0.117098
62,9.424603e-04,0.120218
63,9.455568e-04,0.118508
64,1.224181e-03,0.148133
65,1.233501e-03,0.155862
66,1.233501e-03,0.155862
67,1.233501e-03,0.155862
68,1.233501e-03,0.155862
69,1.233501e-03,0.155862
70,1.251385e-03,0.160507
71,1.251385e-03,0.160507
72,1.251385e-03,0.160507
73,1.260912e-03,0.174743
74,1.260912e-03,0.174743
75,1.339213e-03,0.188940
76,1.447928e-03,0.193513
77,1.610874e-03,0.254404
78,1.610874e-03,0.254404
79,1.623441e-03,0.251791
80,1.627208e-03,0.248713
81,1.636905e-03,0.251823
82,1.636905e-03,0.251823
83,1.664402e-03,0.252518
84,1.698370e-03,0.286827
85,1.701389e-03,0.291092
86,1.701389e-03,0.291092
87,1.701389e-03,0.291092
88,1.736111e-03,0.316176
89,1.736111e-03,0.316176
90,1.736111e-03,0.316176
91,1.736111e-03,0.316176
92,1.736111e-03,0.316176
93,1.736111e-03,0.316176
94,1.736111e-03,0.316176
95,1.737013e-03,0.312911
96,1.827356e-03,0.311578
97,1.929012e-03,0.310897
98,1.961511e-03,0.308209
99,2.024284e-03,0.306116
100,2.128809e-03,0.306335
101,2.144801e-03,0.303634
102,2.170139e-03,0.301363
103,2.406563e-03,0.303893
104,2.483437e-03,0.302154
105,2.495235e-03,0.299752
106,2.560988e-03,0.298722
107,2.609255e-03,0.296313
108,2.742790e-03,0.298667
109,2.777778e-03,0.298546
110,2.914726e-03,0.299627
111,2.965989e-03,0.298342
112,3.208929e-03,0.304187
113,3.285399e-03,0.302261
114,3.368059e-03,0.300961
115,3.400679e-03,0.300078
116,3.401361e-03,0.298022
117,3.470940e-03,0.297389
118,3.472222e-03,0.295737
119,3.479112e-03,0.293920
120,3.536381e-03,0.293258
121,3.576676e-03,0.291083
122,3.634371e-03,0.290045
123,3.719918e-03,0.290870
124,3.814077e-03,0.290222
125,3.876146e-03,0.289668
126,3.877507e-03,0.287429
127,3.892299e-03,0.285272
128,3.915344e-03,0.284137
129,3.972222e-03,0.283574
130,3.980022e-03,0.281438
131,4.014504e-03,0.279817
132,4.066486e-03,0.278394
133,4.111243e-03,0.279425
134,4.116193e-03,0.277407
135,4.133598e-03,0.276244
136,4.327125e-03,0.278129
137,4.520833e-03,0.287431
138,4.583333e-03,0.290935
139,4.613489e-03,0.289478
140,4.629630e-03,0.291278
141,4.629630e-03,0.291278
142,4.629630e-03,0.291278
143,4.676788e-03,0.289594
144,4.856741e-03,0.293201
145,4.865993e-03,0.292748
146,4.981884e-03,0.295130
147,4.991319e-03,0.296041
148,5.063657e-03,0.296690
149,5.063657e-03,0.296690
150,5.063657e-03,0.296690
151,5.261523e-03,0.296934
152,5.279867e-03,0.295270
153,5.314251e-03,0.293402
154,5.345272e-03,0.292688
155,5.486968e-03,0.293097
156,5.500000e-03,0.290226
157,5.500000e-03,0.290226
158,5.705663e-03,0.295560
159,5.843950e-03,0.295245
160,5.955071e-03,0.293994
161,5.958333e-03,0.292879
162,5.962931e-03,0.291756
163,6.018519e-03,0.290819
164,6.114051e-03,0.290677
165,6.250000e-03,0.289912
166,6.345300e-03,0.288536
167,6.385138e-03,0.288308
168,6.542171e-03,0.287533
169,6.578947e-03,0.286571
170,6.666667e-03,0.286568
171,6.684028e-03,0.285614
172,6.734007e-03,0.285706
173,6.944444e-03,0.292928
174,6.967689e-03,0.291583
175,6.981188e-03,0.290646
176,7.093254e-03,0.290276
177,7.127525e-03,0.288768
178,7.161458e-03,0.287253
179,7.177151e-03,0.285852
180,7.178556e-03,0.284364
181,7.244538e-03,0.283975
182,7.291667e-03,0.282799
183,7.373547e-03,0.282443
184,7.473698e-03,0.281606
185,7.551232e-03,0.281046
186,7.589286e-03,0.280043
187,7.605820e-03,0.279021
188,7.610238e-03,0.277604
189,7.731312e-03,0.277648
190,7.936508e-03,0.279380
191,7.936508e-03,0.279380
192,8.060606e-03,0.281057
193,8.063974e-03,0.279655
194,8.251532e-03,0.282719
195,8.267196e-03,0.282497
196,8.333333e-03,0.284820
197,8.333333e-03,0.284820
198,8.477061e-03,0.285396
199,8.541667e-03,0.284289
200,8.614969e-03,0.283462
201,8.627164e-03,0.282761
202,8.756614e-03,0.282938
203,8.909675e-03,0.282993
204,9.020714e-03,0.282743
205,9.185773e-03,0.285415
206,9.201116e-03,0.284643
207,9.277948e-03,0.284536
208,9.398791e-03,0.284469
209,9.424603e-03,0.284218
210,9.427609e-03,0.283433
211,9.608277e-03,0.284270
212,9.722222e-03,0.284599
213,9.722222e-03,0.284599
214,9.876257e-03,0.284960
215,9.920635e-03,0.284616
216,1.000426e-02,0.284806
217,1.014109e-02,0.284735
218,1.015188e-02,0.284156
219,1.015684e-02,0.283000
220,1.018667e-02,0.282584
