resample,min_pval_exp,min_pval_theta
0,4.782517e-05,4.782517e-05
1,4.806784e-04,4.806784e-04
2,5.415053e-05,5.415053e-05
3,2.745222e-04,2.745222e-04
4,6.766632e-06,6.766632e-06
5,1.584642e-04,1.584642e-04
6,1.316668e-04,1.316668e-04
7,3.401361e-05,3.401361e-05
8,2.232143e-05,1.631637e-04
9,1.052154e-05,4.782517e-05
10,8.777006e-05,8.777006e-05
11,3.890445e-05,3.890445e-05
12,4.160158e-05,4.160158e-05
13,6.122972e-04,6.122972e-04
14,4.822531e-04,4.822531e-04
15,1.008259e-04,1.008259e-04
16,6.235828e-05,6.235828e-05
17,5.134951e-05,5.134951e-05
18,1.714678e-05,1.714678e-05
19,1.713629e-04,1.713629e-04
20,1.793444e-05,1.793444e-05
21,8.980399e-05,8.930793e-05
22,4.565483e-05,4.565483e-05
23,4.782517e-05,4.782517e-05
24,3.452868e-05,3.452868e-05
25,1.250675e-04,1.250675e-04
26,7.639085e-05,7.639085e-05
27,1.503850e-04,1.503850e-04
28,4.807742e-04,4.655350e-04
29,2.952570e-04,2.952570e-04
30,1.516360e-04,1.516360e-04
31,1.483647e-04,1.416816e-04
32,1.475552e-04,1.475552e-04
33,4.822531e-04,4.822531e-04
34,3.263476e-04,5.452989e-04
35,4.124612e-04,4.124612e-04
36,1.588841e-04,1.588841e-04
37,4.124612e-04,4.124612e-04
38,3.010315e-05,1.418858e-04
39,1.365263e-04,1.365263e-04
40,7.639085e-05,7.639085e-05
41,6.944444e-05,6.944444e-05
42,3.161245e-04,5.787037e-04
43,4.782517e-05,4.782517e-05
44,5.452989e-04,5.452989e-04
45,3.647292e-06,3.647292e-06
46,4.782517e-05,4.782517e-05
47,6.944444e-05,6.944444e-05
48,2.314815e-04,2.314815e-04
49,3.452868e-05,3.452868e-05
50,1.453079e-04,1.414136e-04
51,4.081633e-04,1.632976e-04
52,1.514449e-04,1.514449e-04
53,4.782517e-05,4.782517e-05
54,1.506849e-04,1.506849e-04
55,1.339335e-04,1.339335e-04
56,9.453782e-05,9.453782e-05
57,3.645833e-04,3.645833e-04
58,8.568430e-05,8.568430e-05
59,1.541513e-04,1.541513e-04
60,7.887355e-04,7.887355e-04
61,1.240079e-04,1.240079e-04
62,2.361848e-05,2.361848e-05
63,5.791860e-04,5.775638e-04
64,1.241376e-04,1.241376e-04
65,6.944444e-05,6.944444e-05
66,1.009799e-04,1.009799e-04
67,4.960317e-05,4.960317e-05
68,1.366530e-04,1.366530e-04
69,4.782517e-05,4.782517e-05
70,1.012731e-04,1.221078e-04
71,1.655034e-04,1.655034e-04
72,5.134951e-05,4.736213e-05
73,1.002300e-04,1.002300e-04
74,1.615838e-04,1.615838e-04
75,1.569343e-04,1.569343e-04
76,1.948898e-04,1.948898e-04
77,3.521762e-04,3.467062e-04
78,1.624838e-04,1.624838e-04
79,4.782517e-05,4.782517e-05
80,4.782517e-05,4.782517e-05
81,1.459775e-04,1.459775e-04
82,1.157407e-04,1.157407e-04
83,1.674833e-04,1.674833e-04
84,4.031218e-05,4.031218e-05
85,7.768540e-05,7.768540e-05
86,1.530247e-04,1.530247e-04
87,4.782517e-05,4.782517e-05
88,1.450355e-04,1.450355e-04
89,1.499350e-04,1.499350e-04
90,5.828016e-05,5.828016e-05
91,1.139323e-04,1.139323e-04
92,6.944444e-05,6.944444e-05
93,1.390114e-04,1.390114e-04
94,1.157407e-04,1.157407e-04
95,1.383074e-04,1.378981e-04
96,1.013899e-04,1.013899e-04
97,1.157407e-04,1.157407e-04
98,1.285471e-04,1.285471e-04
99,1.793444e-05,1.793444e-05
100,1.526847e-04,1.526847e-04
101,2.204378e-04,2.204378e-04
102,5.415053e-05,5.415053e-05
103,1.366993e-04,1.366993e-04
104,1.324868e-04,1.324868e-04
105,7.123098e-05,7.123098e-05
106,6.944444e-05,6.944444e-05
107,1.565643e-04,1.565643e-04
108,1.159142e-04,1.159142e-04
109,1.006499e-04,1.006499e-04
110,1.218060e-04,1.218060e-04
111,1.467353e-04,1.467353e-04
112,6.235828e-04,6.235828e-04
113,5.249013e-06,5.249013e-06
114,1.483852e-04,1.483852e-04
115,1.182482e-04,1.182482e-04
116,4.782517e-05,4.782517e-05
117,6.283069e-05,6.283069e-05
118,5.671296e-04,5.671296e-04
119,2.336188e-04,3.861844e-04
120,1.482252e-04,1.482252e-04
121,5.415053e-05,5.415053e-05
122,6.944444e-05,6.944444e-05
123,2.259918e-04,2.259918e-04
124,3.819444e-04,3.819444e-04
125,1.014199e-04,1.014199e-04
126,3.605769e-04,3.605769e-04
127,5.668435e-04,5.668435e-04
128,4.782517e-05,4.782517e-05
129,8.799004e-05,8.799004e-05
130,4.782517e-05,4.782517e-05
131,1.436456e-04,1.436456e-04
132,1.482391e-04,1.482391e-04
133,4.782517e-05,4.782517e-05
134,1.624838e-04,1.624838e-04
135,5.555556e-04,5.787037e-04
136,3.367635e-04,3.367635e-04
137,1.422858e-04,1.422858e-04
138,1.240435e-04,1.240435e-04
139,4.031218e-05,4.031218e-05
140,1.666500e-04,1.666500e-04
141,3.038839e-04,2.315010e-04
142,1.395860e-04,1.395860e-04
143,1.433190e-04,1.433190e-04
144,6.577734e-05,6.577734e-05
145,1.696430e-04,1.696430e-04
146,1.157407e-04,1.157407e-04
147,2.037273e-05,2.362056e-05
148,7.440476e-05,7.440476e-05
149,4.782517e-05,4.782517e-05
150,1.601158e-04,1.601158e-04
151,1.515748e-04,1.515748e-04
152,1.005099e-04,1.005099e-04
153,1.594841e-04,1.594841e-04
154,6.944444e-05,6.944444e-05
155,1.003500e-04,1.003500e-04
156,1.891985e-05,1.891985e-05
157,2.457445e-04,4.534404e-04
158,3.214963e-05,3.214276e-05
159,2.078609e-04,2.078609e-04
160,1.637336e-04,1.637336e-04
161,1.770498e-04,1.953976e-04
162,1.672133e-04,1.672133e-04
163,1.633170e-04,1.633170e-04
164,6.944444e-05,6.944444e-05
165,6.944444e-05,6.944444e-05
166,1.503850e-04,1.349097e-04
167,6.944444e-05,6.944444e-05
168,1.198482e-04,1.198482e-04
169,1.793444e-05,1.793444e-05
170,2.480159e-05,2.480159e-05
171,1.533180e-04,1.533180e-04
172,1.702070e-06,1.702070e-06
173,1.532647e-04,1.532647e-04
174,1.389252e-04,1.389252e-04
175,1.658168e-04,1.658168e-04
176,9.920635e-05,1.010699e-04
177,1.214365e-04,1.214365e-04
178,1.508183e-04,1.508183e-04
179,5.162321e-05,5.162321e-05
180,6.944444e-05,6.944444e-05
181,2.502770e-04,2.502770e-04
182,4.782517e-05,4.782517e-05
183,2.847447e-04,6.235828e-04
184,5.139586e-05,5.139586e-05
185,1.447078e-04,1.447078e-04
186,1.469653e-04,1.469653e-04
187,9.811617e-05,5.787037e-04
188,4.798321e-05,4.798321e-05
189,2.125964e-04,8.500557e-04
190,1.369663e-04,1.369663e-04
191,3.592658e-04,3.592658e-04
192,1.005499e-04,1.005499e-04
193,1.592741e-04,1.592741e-04
194,1.237638e-04,1.237638e-04
195,4.782517e-05,4.782517e-05
196,6.944444e-05,6.944444e-05
197,1.011999e-04,1.011999e-04
198,4.567285e-04,5.671296e-04
199,1.435456e-04,1.435456e-04
200,2.480159e-05,2.480159e-05
201,4.950648e-04,4.950648e-04
202,6.908717e-05,6.908717e-05
203,3.682660e-04,3.682660e-04
204,3.153509e-04,7.887355e-04
205,1.322751e-04,1.322751e-04
206,4.583304e-04,4.512501e-04
207,3.190630e-04,4.458637e-04
208,8.665402e-05,8.665402e-05
209,5.787037e-04,5.787037e-04
210,1.591508e-04,1.591508e-04
211,1.413068e-04,1.413068e-04
212,4.782517e-05,4.782517e-05
213,1.444456e-04,1.444456e-04
214,5.828016e-05,5.828016e-05
215,1.240079e-04,1.240079e-04
216,4.602496e-05,4.602496e-05
217,1.060965e-04,1.060965e-04
218,1.489451e-04,1.489451e-04
219,1.631637e-04,1.631637e-04
220,7.888742e-05,1.011899e-04
221,1.397460e-04,1.397460e-04
222,1.569843e-04,1.569843e-04
223,1.653435e-04,1.653435e-04
224,1.006499e-04,1.006499e-04
225,5.048077e-04,5.048077e-04
226,1.399860e-04,1.399860e-04
227,4.782517e-05,4.782517e-05
228,1.260574e-04,1.260574e-04
229,1.434357e-04,1.434357e-04
230,1.005899e-04,1.005899e-04
231,1.633170e-04,1.633170e-04
232,7.233796e-05,7.233796e-05
233,4.782517e-05,4.782517e-05
234,1.413859e-04,1.413859e-04
235,2.325717e-04,2.325717e-04
236,3.686822e-04,3.686822e-04
237,6.944444e-05,6.944444e-05
238,7.543781e-04,5.893898e-04
239,1.695630e-04,1.695630e-04
240,1.415658e-04,1.415658e-04
241,6.481481e-05,6.481481e-05
242,1.733160e-04,1.733160e-04
243,1.643636e-04,1.643636e-04
244,7.639085e-05,7.639085e-05
245,1.466520e-04,1.466520e-04
246,1.339566e-04,1.339566e-04
247,1.157407e-04,1.157407e-04
248,1.212466e-04,1.212466e-04
