N,f,test,recall
2,0.2,exp,0.9900
2,0.2,theta,0.0300
2,0.4,exp,0.9950
2,0.4,theta,0.9950
2,0.6,exp,1.0000
2,0.6,theta,1.0000
2,0.8,exp,1.0000
2,0.8,theta,1.0000
2,1.0,exp,1.0000
2,1.0,theta,1.0000
3,0.2,exp,1.0000
3,0.2,theta,0.0800
3,0.4,exp,1.0000
3,0.4,theta,1.0000
3,0.6,exp,1.0000
3,0.6,theta,1.0000
3,0.8,exp,1.0000
3,0.8,theta,1.0000
3,1.0,exp,1.0000
3,1.0,theta,1.0000
5,0.2,exp,1.0000
5,0.2,theta,0.2300
5,0.4,exp,1.0000
5,0.4,theta,1.0000
5,0.6,exp,1.0000
5,0.6,theta,1.0000
5,0.8,exp,1.0000
5,0.8,theta,1.0000
5,1.0,exp,1.0000
5,1.0,theta,1.0000
10,0.2,exp,1.0000
10,0.2,theta,0.4250
10,0.4,exp,1.0000
10,0.4,theta,1.0000
10,0.6,exp,1.0000
10,0.6,theta,1.0000
10,0.8,exp,1.0000
10,0.8,theta,1.0000
10,1.0,exp,1.0000
10,1.0,theta,1.0000
20,0.2,exp,1.0000
20,0.2,theta,0.8300
20,0.4,exp,1.0000
20,0.4,theta,1.0000
20,0.6,exp,1.0000
20,0.6,theta,1.0000
20,0.8,exp,1.0000
20,0.8,theta,1.0000
20,1.0,exp,1.0000
20,1.0,theta,1.0000
30,0.2,exp,1.0000
30,0.2,theta,0.9550
30,0.4,exp,1.0000
30,0.4,theta,1.0000
30,0.6,exp,1.0000
30,0.6,theta,1.0000
30,0.8,exp,1.0000
30,0.8,theta,1.0000
30,1.0,exp,1.0000
30,1.0,theta,1.0000
