pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.000000,100,1.560349e-11,
TP53->-PIK3CA,2,1,83.000000,83,3.290729e-02,
PIK3CA->-TP53,2,1,69.000000,69,6.664079e-01,
MAP3K1->-PIK3CA,2,1,48.000000,48,4.251528e-02,
PIK3CA->-GATA3,2,1,42.000000,42,2.132158e-01,
TP53->-PTEN,2,1,38.000000,38,3.239819e-05,
GATA3->-PIK3CA,2,1,37.000000,37,6.274130e-01,
PIK3CA->-MAP3K1,2,1,34.000000,34,9.156831e-01,
PIK3CA->-KMT2C,2,1,33.000000,33,5.432867e-02,
CBFB->-PIK3CA,2,1,33.000000,33,3.288464e-06,
TP53->-KMT2C,2,1,29.000000,29,4.411299e-05,
PIK3CA->-KMT2C TP53->-KMT2C TP53->-PIK3CA,3,3,4.000000,4,1.407845e-01,
PIK3CA->-KMT2C PIK3CA->-TP53 TP53->-KMT2C,3,3,3.000000,3,3.442486e-01,
PIK3CA->-CDH1,2,1,28.000000,28,1.000000e+00,
PIK3CA->-FOXA1,2,1,27.000000,27,6.446643e-03,
TP53->-NF1,2,1,27.000000,27,3.597685e-03,
CDH1->-TP53,2,1,26.000000,26,9.673814e-02,
CDH1->-PIK3CA CDH1->-TP53 TP53->-PIK3CA,3,3,2.000000,2,6.451496e-01,
CDH1->-PIK3CA CDH1->-TP53 PIK3CA->-TP53,3,3,3.000000,3,3.531774e-01,
PIK3CA->-ESR1,2,1,26.000000,26,1.029732e-01,
TP53->-MAP3K1,2,1,24.000000,24,1.929808e-04,
MAP3K1->-PIK3CA TP53->-MAP3K1 TP53->-PIK3CA,3,3,2.000000,2,3.850032e-01,
PIK3CA->-MAP3K1 TP53->-MAP3K1 TP53->-PIK3CA,3,3,2.000000,2,3.850032e-01,
PIK3CA->-MAP3K1 PIK3CA->-TP53 TP53->-MAP3K1,3,3,2.000000,2,3.850032e-01,
TP53->-KMT2D,2,1,24.000000,24,2.678270e-06,
CDH1->-KMT2C,2,1,23.000000,23,4.920864e-04,
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,3.987811e-03,
CDH1->-KMT2C CDH1->-TP53 TP53->-KMT2C,3,3,2.000000,2,3.239668e-01,
TP53->-RB1,2,1,21.000000,21,5.062669e-03,
CBFB->-GATA3,2,1,21.000000,21,2.335438e-04,
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,6.348451e-02,
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,6.000000,6,1.728822e-02,
PIK3CA->-FAT1,2,1,20.000000,20,3.574989e-04,
KMT2C->-PIK3CA,2,1,20.000000,20,9.719055e-01,
KMT2C->-PIK3CA TP53->-KMT2C TP53->-PIK3CA,3,3,2.000000,2,6.369097e-01,
CDH1->-KMT2C CDH1->-PIK3CA KMT2C->-PIK3CA,3,3,5.000000,5,6.632544e-02,
PIK3CA->-ARID1A,2,1,20.000000,20,2.568347e-01,
CDH1->-FOXA1,2,1,19.000000,19,6.165456e-04,
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,3.071442e-04,
CDH1->-MAP3K1,2,1,19.000000,19,6.194909e-04,
CDH1->-MAP3K1 CDH1->-PIK3CA MAP3K1->-PIK3CA,3,3,4.000000,4,2.153188e-01,
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,1.013056e-03,
CDH1->-MAP3K1 CDH1->-TP53 TP53->-MAP3K1,3,3,3.000000,3,1.620370e-02,
PIK3CA->-SF3B1,2,1,19.000000,19,1.186795e-05,
CDH1->-ERBB2,2,1,19.000000,19,5.175586e-02,
AKT1->-TP53,2,1,19.000000,19,1.566795e-04,
TP53->-NCOR1,2,1,19.000000,19,1.552679e-02,
PIK3CA->-RUNX1,2,1,19.000000,19,2.022992e-02,
TP53->-CDH1,2,1,19.000000,19,7.896752e-01,
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,4.654567e-02,
CDH1->-KMT2C TP53->-CDH1 TP53->-KMT2C,3,3,2.000000,2,3.239668e-01,
TP53->-ARID1A,2,1,18.000000,18,5.758475e-04,
PIK3CA->-ARID1A TP53->-ARID1A TP53->-PIK3CA,3,3,2.000000,2,3.150247e-01,
PIK3CA->-ARID1A PIK3CA->-TP53 TP53->-ARID1A,3,3,3.000000,3,8.911245e-02,
TP53->-FAT1,2,1,18.000000,18,1.250988e-04,
PIK3CA->-FAT1 TP53->-FAT1 TP53->-PIK3CA,3,3,4.000000,4,4.258341e-02,
PIK3CA->-FAT1 PIK3CA->-TP53 TP53->-FAT1,3,3,3.000000,3,1.645093e-01,
MAP2K4->-PIK3CA,2,1,18.000000,18,4.090278e-02,
PIK3CA->-NCOR1,2,1,18.000000,18,3.471394e-01,
PIK3CA->-NCOR1 TP53->-NCOR1 TP53->-PIK3CA,3,3,2.000000,2,4.135488e-01,
ESR1->-PIK3CA,2,1,17.000000,17,9.234371e-01,
CDH1->-ARID1A,2,1,17.000000,17,3.811405e-03,
CDH1->-ARID1A CDH1->-PIK3CA PIK3CA->-ARID1A,3,3,4.000000,4,2.048509e-01,
CDH1->-ARID1A PIK3CA->-ARID1A PIK3CA->-CDH1,3,3,2.000000,2,7.140764e-01,
CDH1->-ARID1A CDH1->-TP53 TP53->-ARID1A,3,3,2.000000,2,1.471427e-01,
CDH1->-TBX3,2,1,17.000000,17,5.078047e-02,
TBX3->-PIK3CA,2,1,17.000000,17,3.065433e-01,
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,5.093913e-02,
TP53->-GATA3,2,1,17.000000,17,2.347457e-02,
PIK3CA->-GATA3 TP53->-GATA3 TP53->-PIK3CA,3,3,3.000000,3,1.375622e-01,
PIK3CA->-GATA3 PIK3CA->-TP53 TP53->-GATA3,3,3,3.000000,3,1.375622e-01,
NCOR1->-PIK3CA,2,1,16.000000,16,6.163340e-01,
NCOR1->-PIK3CA TP53->-NCOR1 TP53->-PIK3CA,3,3,3.000000,3,1.484023e-01,
ARID1A->-PIK3CA,2,1,15.000000,15,8.425318e-01,
ARID1A->-PIK3CA CDH1->-ARID1A CDH1->-PIK3CA,3,3,6.000000,6,2.167785e-02,
PIK3CA->-KMT2D,2,1,15.000000,15,9.467301e-03,
PIK3CA->-KMT2D TP53->-KMT2D TP53->-PIK3CA,3,3,4.000000,4,7.564897e-02,
PIK3CA->-KMT2D PIK3CA->-TP53 TP53->-KMT2D,3,3,5.000000,5,1.771807e-02,
CDH1->-RUNX1,2,1,15.000000,15,7.241069e-02,
CDH1->-PIK3CA CDH1->-RUNX1 PIK3CA->-RUNX1,3,3,5.000000,5,2.924378e-02,
CDH1->-RUNX1 PIK3CA->-CDH1 PIK3CA->-RUNX1,3,3,2.000000,2,5.890580e-01,
TP53->-ARID2,2,1,15.000000,15,3.807878e-06,
PIK3CA->-TBX3,2,1,15.000000,15,5.813895e-01,
CDH1->-PIK3CA CDH1->-TBX3 PIK3CA->-TBX3,3,3,3.000000,3,3.657438e-01,
TP53->-PIK3R1,2,1,15.000000,15,5.679312e-03,
TP53->-PTPRD,2,1,15.000000,15,2.205360e-06,
CDH1->-NCOR1,2,1,15.000000,15,1.774770e-02,
CDH1->-NCOR1 TP53->-CDH1 TP53->-NCOR1,3,3,2.000000,2,3.720663e-01,
CDH1->-NCOR1 CDH1->-PIK3CA PIK3CA->-NCOR1,3,3,3.000000,3,1.996787e-01,
