resample,min_pval_exp,min_pval_theta
0,6.944444e-05,1.000000e+00
1,3.718760e-04,1.000000e+00
2,3.112907e-04,1.000000e+00
3,1.148222e-05,1.000000e+00
4,6.809484e-05,1.000000e+00
5,3.757731e-04,1.000000e+00
6,3.858025e-05,1.000000e+00
7,7.233796e-05,1.000000e+00
8,6.944444e-05,1.000000e+00
9,6.944444e-05,1.000000e+00
10,2.755732e-04,1.000000e+00
11,2.445471e-04,1.000000e+00
12,4.728013e-05,1.000000e+00
13,1.262626e-04,1.000000e+00
14,5.787037e-04,1.000000e+00
15,3.112907e-04,1.000000e+00
16,3.732089e-04,1.000000e+00
17,5.686737e-05,1.000000e+00
18,2.143347e-05,1.000000e+00
19,4.227480e-04,1.000000e+00
20,2.170669e-04,1.000000e+00
21,1.883582e-04,1.000000e+00
22,1.946549e-04,1.000000e+00
23,3.697274e-05,1.000000e+00
24,3.306878e-04,1.000000e+00
25,3.712096e-04,1.000000e+00
26,2.521633e-05,1.000000e+00
27,2.929687e-04,1.000000e+00
28,4.436728e-05,1.000000e+00
29,5.818630e-04,1.000000e+00
30,1.167559e-04,1.000000e+00
31,1.135601e-04,1.000000e+00
32,3.511865e-04,1.000000e+00
33,4.822531e-04,1.000000e+00
34,2.445471e-04,1.000000e+00
35,4.960317e-04,1.000000e+00
36,3.432189e-04,1.000000e+00
37,1.227683e-04,1.000000e+00
38,3.996446e-04,1.000000e+00
39,1.262626e-04,1.000000e+00
40,2.445471e-04,1.000000e+00
41,6.944444e-05,1.000000e+00
42,1.979638e-04,1.000000e+00
43,3.890445e-05,1.000000e+00
44,5.827206e-04,1.000000e+00
45,2.480159e-04,1.000000e+00
46,6.944444e-05,1.000000e+00
47,6.944444e-05,1.000000e+00
48,2.438323e-04,1.000000e+00
49,3.665863e-04,1.000000e+00
50,2.480159e-04,1.000000e+00
51,3.851612e-04,1.000000e+00
52,3.750972e-04,1.000000e+00
53,6.944444e-05,1.000000e+00
54,2.005895e-04,1.000000e+00
55,1.736111e-04,1.000000e+00
56,2.445471e-04,1.000000e+00
57,1.797027e-05,1.000000e+00
58,1.028893e-03,1.000000e+00
59,3.938687e-04,1.000000e+00
60,6.181201e-04,1.000000e+00
61,5.648458e-04,1.000000e+00
62,4.041740e-04,1.000000e+00
63,6.512007e-04,1.000000e+00
64,4.166667e-04,1.000000e+00
65,6.944444e-05,1.000000e+00
66,2.192059e-04,1.000000e+00
67,1.240079e-04,1.000000e+00
68,3.637676e-04,1.000000e+00
69,6.944444e-05,1.000000e+00
70,7.233796e-05,1.000000e+00
71,3.945352e-04,1.000000e+00
72,3.894257e-04,1.000000e+00
73,3.335555e-04,1.000000e+00
74,3.758747e-04,1.000000e+00
75,4.389648e-04,1.000000e+00
76,7.807238e-05,1.000000e+00
77,1.511716e-04,1.000000e+00
78,1.373626e-04,1.000000e+00
79,2.794978e-05,1.000000e+00
80,6.809484e-05,1.000000e+00
81,5.668934e-05,1.000000e+00
82,1.324543e-04,1.000000e+00
83,1.679039e-04,1.000000e+00
84,3.635455e-04,1.000000e+00
85,2.760032e-04,1.000000e+00
86,3.909808e-04,1.000000e+00
87,6.809484e-05,1.000000e+00
88,2.271474e-04,1.000000e+00
89,1.929012e-04,1.000000e+00
90,8.792327e-05,1.000000e+00
91,2.803096e-04,1.000000e+00
92,6.944444e-05,1.000000e+00
93,3.832056e-04,1.000000e+00
94,3.812063e-04,1.000000e+00
95,1.488095e-04,1.000000e+00
96,6.944444e-05,1.000000e+00
97,6.944444e-05,1.000000e+00
98,3.705432e-04,1.000000e+00
99,1.797027e-05,1.000000e+00
100,3.665445e-04,1.000000e+00
101,1.247758e-04,1.000000e+00
102,3.892036e-04,1.000000e+00
103,2.185727e-04,1.000000e+00
104,3.693213e-04,1.000000e+00
105,9.093915e-05,1.000000e+00
106,1.180828e-05,1.000000e+00
107,3.842053e-04,1.000000e+00
108,3.497494e-04,1.000000e+00
109,7.233796e-05,1.000000e+00
110,3.858025e-04,1.000000e+00
111,1.736111e-04,1.000000e+00
112,1.247758e-04,1.000000e+00
113,6.583694e-04,1.000000e+00
114,3.970899e-04,1.000000e+00
115,3.472222e-04,1.000000e+00
116,6.809484e-05,1.000000e+00
117,6.944444e-05,1.000000e+00
118,5.787037e-04,1.000000e+00
119,6.520258e-04,1.000000e+00
120,6.944444e-05,1.000000e+00
121,1.079665e-05,1.000000e+00
122,1.356668e-05,1.000000e+00
123,6.181201e-04,1.000000e+00
124,4.310752e-04,1.000000e+00
125,3.367766e-04,1.000000e+00
126,4.941312e-04,1.000000e+00
127,4.873053e-04,1.000000e+00
128,6.944444e-05,1.000000e+00
129,1.791226e-04,1.000000e+00
130,6.944444e-05,1.000000e+00
131,2.480159e-04,1.000000e+00
132,1.167134e-04,1.000000e+00
133,6.944444e-05,1.000000e+00
134,1.324543e-04,1.000000e+00
135,5.787037e-04,1.000000e+00
136,1.759990e-04,1.000000e+00
137,3.687660e-04,1.000000e+00
138,3.058125e-04,1.000000e+00
139,1.872874e-04,1.000000e+00
140,3.859825e-04,1.000000e+00
141,2.480159e-04,1.000000e+00
142,3.674331e-04,1.000000e+00
143,3.973984e-04,1.000000e+00
144,6.809484e-05,1.000000e+00
145,6.944444e-05,1.000000e+00
146,1.832562e-04,1.000000e+00
147,1.791226e-04,1.000000e+00
148,4.140842e-04,1.000000e+00
149,6.944444e-05,1.000000e+00
150,1.734704e-04,1.000000e+00
151,3.783183e-04,1.000000e+00
152,1.215575e-04,1.000000e+00
153,2.082546e-04,1.000000e+00
154,4.464286e-05,1.000000e+00
155,3.358880e-04,1.000000e+00
156,6.944444e-05,1.000000e+00
157,6.796932e-04,1.000000e+00
