rank,pvalue,fdr_exp
1,1.790981e-11,0.000000
2,2.457551e-06,0.000500
3,3.575139e-06,0.000333
4,4.294349e-06,0.000375
5,4.832924e-06,0.000300
6,1.398722e-05,0.000583
7,3.145159e-05,0.001071
8,3.690067e-05,0.001625
9,4.402190e-05,0.001778
10,4.491549e-05,0.001750
11,5.857234e-05,0.002045
12,6.408658e-05,0.002042
13,1.123319e-04,0.002615
14,1.153994e-04,0.002464
15,1.280465e-04,0.002633
16,1.310941e-04,0.002844
17,1.583316e-04,0.002971
18,1.901593e-04,0.003278
19,1.966122e-04,0.003211
20,2.327094e-04,0.003425
21,2.441406e-04,0.003500
22,2.468033e-04,0.003386
23,2.822005e-04,0.003696
24,2.837210e-04,0.003563
25,3.071442e-04,0.003580
26,3.201163e-04,0.003673
27,3.575382e-04,0.004593
28,3.848380e-04,0.004696
29,4.182711e-04,0.005000
30,4.411723e-04,0.005300
31,4.430677e-04,0.005226
32,5.159518e-04,0.005656
33,5.567529e-04,0.005667
34,6.642984e-04,0.006544
35,6.751543e-04,0.006671
36,8.370536e-04,0.007639
37,8.436740e-04,0.007459
38,1.013056e-03,0.009382
39,1.039417e-03,0.009564
40,1.128472e-03,0.009975
41,1.221065e-03,0.010317
42,1.416873e-03,0.011083
43,1.573083e-03,0.012070
44,1.688357e-03,0.012864
45,1.693061e-03,0.012667
46,1.880787e-03,0.014141
47,1.888021e-03,0.014000
48,2.004540e-03,0.014906
49,2.143024e-03,0.015265
50,2.314815e-03,0.016850
51,2.505836e-03,0.017882
52,2.545383e-03,0.017923
53,3.156433e-03,0.021642
54,3.255645e-03,0.022009
55,3.628027e-03,0.025200
56,3.720212e-03,0.025455
57,3.765555e-03,0.025219
58,4.296716e-03,0.030052
59,4.687500e-03,0.031864
60,4.933301e-03,0.033500
61,4.955227e-03,0.033025
62,5.200501e-03,0.033887
63,5.215420e-03,0.033873
64,5.236951e-03,0.033602
65,5.441164e-03,0.034400
66,5.668541e-03,0.035220
67,5.729167e-03,0.036104
68,6.252572e-03,0.039875
69,6.339500e-03,0.040036
70,6.399697e-03,0.039614
71,6.490009e-03,0.040324
72,6.596646e-03,0.040563
73,6.779427e-03,0.041055
74,6.825658e-03,0.040899
75,6.967923e-03,0.040820
76,7.058487e-03,0.040711
77,7.682111e-03,0.043857
78,7.909702e-03,0.044635
79,8.472570e-03,0.046348
80,8.520276e-03,0.046150
81,8.805419e-03,0.046414
82,8.848509e-03,0.046067
83,9.177246e-03,0.048000
84,9.183414e-03,0.047827
85,9.295348e-03,0.047594
86,9.404762e-03,0.047837
87,9.465096e-03,0.047580
88,9.580872e-03,0.047710
89,9.826408e-03,0.048124
90,1.012188e-02,0.049989
91,1.033646e-02,0.051945
92,1.091383e-02,0.054071
93,1.106322e-02,0.054597
94,1.111111e-02,0.054745
95,1.128472e-02,0.055125
96,1.128472e-02,0.055125
97,1.170381e-02,0.057119
98,1.174242e-02,0.057551
99,1.185345e-02,0.057470
100,1.185950e-02,0.057070
101,1.234692e-02,0.060079
102,1.250000e-02,0.060946
103,1.268808e-02,0.061529
104,1.303855e-02,0.062490
105,1.378788e-02,0.066081
106,1.393229e-02,0.065825
107,1.400670e-02,0.065668
108,1.407225e-02,0.066199
109,1.444117e-02,0.067596
