,evolution,distinct trees
0,P0,1
1,P1,2
2,P10,1
3,P100,2
4,P1000,1
5,P1001,1
6,P1002,1
7,P1003,2
8,P1004,1
9,P1005,2
10,P1006,1
11,P1007,1
12,P1008,1
13,P1009,1
14,P101,2
15,P1010,1
16,P1011,1
17,P1012,2
18,P1013,1
19,P1014,2
20,P1015,2
21,P1016,2
22,P1017,1
23,P1018,2
24,P1019,1
25,P102,2
26,P1020,1
27,P1021,2
28,P1022,2
29,P1023,1
30,P1024,2
31,P1025,1
32,P1026,1
33,P1027,1
34,P1028,1
35,P1029,1
36,P103,1
37,P1030,1
38,P1031,1
39,P1032,2
40,P1033,1
41,P1034,2
42,P1035,1
43,P1036,2
44,P1037,2
45,P1038,2
46,P1039,1
47,P104,1
48,P1040,1
49,P1041,2
50,P1042,1
51,P1043,1
52,P1044,1
53,P1045,1
54,P1046,1
55,P1047,1
56,P1048,1
57,P1049,1
58,P105,1
59,P1050,2
60,P1051,1
61,P1052,1
62,P1053,1
63,P1054,2
64,P1055,1
65,P1056,1
66,P1057,1
67,P1058,1
68,P1059,2
69,P106,1
70,P1060,2
71,P1061,1
72,P1062,1
73,P1063,1
74,P1064,1
75,P1065,1
76,P1066,1
77,P1067,1
78,P1068,1
79,P1069,1
80,P107,2
81,P1070,1
82,P1071,1
83,P1072,2
84,P1073,1
85,P1074,2
86,P1075,1
87,P1076,2
88,P1077,2
89,P1078,2
90,P1079,1
91,P108,2
92,P1080,1
93,P1081,1
94,P1082,1
95,P1083,1
96,P1084,1
97,P1085,1
98,P1086,1
99,P1087,1
100,P1088,1
101,P1089,1
102,P109,2
103,P1090,1
104,P1091,1
105,P1092,1
106,P1093,1
107,P1094,1
108,P1095,1
109,P1096,1
110,P1097,1
111,P1098,1
112,P1099,1
113,P11,2
114,P110,1
115,P1100,2
116,P1101,2
117,P1102,1
118,P1103,1
119,P1104,1
120,P1105,2
121,P1106,1
122,P1107,1
123,P1108,1
124,P1109,1
125,P111,1
126,P1110,1
127,P1111,1
128,P1112,2
129,P1113,1
130,P1114,2
131,P1115,2
132,P1116,1
133,P1117,1
134,P1118,2
135,P1119,2
136,P112,1
137,P1120,2
138,P1121,1
139,P1122,1
140,P1123,1
141,P1124,1
142,P1125,1
143,P1126,2
144,P1127,1
145,P1128,1
146,P1129,1
147,P113,2
148,P1130,1
149,P1131,1
150,P1132,2
151,P1133,1
152,P1134,2
153,P1135,2
154,P1136,1
155,P1137,1
156,P1138,1
157,P1139,1
158,P114,1
159,P1140,2
160,P1141,2
161,P1142,1
162,P1143,2
163,P1144,1
164,P1145,1
165,P1146,2
166,P1147,1
167,P1148,1
168,P1149,1
169,P115,1
170,P1150,2
171,P1151,1
172,P1152,2
173,P1153,2
174,P1154,2
175,P1155,1
176,P1156,1
177,P1157,1
178,P1158,1
179,P1159,1
180,P116,2
181,P1160,2
182,P1161,1
183,P1162,2
184,P1163,1
185,P1164,2
186,P1165,1
187,P1166,2
188,P1167,1
189,P1168,1
190,P1169,1
191,P117,1
192,P1170,1
193,P1171,1
194,P1172,2
195,P1173,1
196,P1174,1
197,P1175,2
198,P1176,1
199,P1177,1
200,P1178,1
201,P1179,1
202,P118,1
203,P1180,1
204,P1181,2
205,P1182,1
206,P1183,2
207,P1184,1
208,P1185,1
209,P1186,1
210,P1187,1
211,P1188,1
212,P1189,1
213,P119,1
214,P1190,1
215,P1191,2
216,P1192,1
217,P1193,1
218,P1194,2
219,P1195,1
220,P1196,1
221,P1197,2
222,P1198,2
223,P1199,1
224,P12,2
225,P120,2
226,P1200,2
227,P1201,1
228,P1202,1
229,P1203,2
230,P1204,1
231,P1205,1
232,P1206,1
233,P1207,2
234,P1208,1
235,P1209,2
236,P121,1
237,P1210,1
238,P1211,2
239,P1212,1
240,P1213,1
241,P1214,1
242,P1215,1
243,P1216,2
244,P1217,2
245,P1218,1
246,P1219,2
247,P122,2
248,P1220,1
249,P1221,1
250,P1222,2
251,P1223,1
252,P1224,1
253,P1225,1
254,P1226,1
255,P1227,1
256,P1228,1
257,P1229,2
258,P123,1
259,P1230,1
260,P1231,1
261,P1232,2
262,P1233,1
263,P1234,1
264,P1235,2
265,P1236,1
266,P1237,1
267,P1238,2
268,P1239,1
269,P124,2
270,P1240,1
271,P1241,1
272,P1242,1
273,P1243,1
274,P1244,1
275,P1245,1
276,P1246,1
277,P1247,2
278,P1248,1
279,P1249,2
280,P125,1
281,P1250,1
282,P1251,1
283,P1252,2
284,P1253,1
285,P1254,1
286,P1255,2
287,P1256,1
288,P1257,1
289,P1258,2
290,P1259,1
291,P126,1
292,P1260,2
293,P1261,2
294,P1262,1
295,P1263,2
296,P1264,1
297,P1265,1
298,P1266,1
299,P1267,1
300,P1268,1
301,P1269,1
302,P127,2
303,P1270,2
304,P1271,1
305,P1272,2
306,P1273,1
307,P1274,2
308,P1275,2
309,P1276,1
310,P1277,1
311,P1278,2
312,P1279,1
313,P128,1
314,P1280,1
315,P1281,2
316,P1282,2
317,P1283,1
318,P1284,1
319,P1285,1
320,P1286,2
321,P1287,1
322,P1288,2
323,P1289,2
324,P129,2
325,P1290,1
326,P1291,1
327,P1292,2
328,P1293,2
329,P1294,2
330,P1295,1
331,P1296,2
332,P1297,1
333,P1298,1
334,P1299,2
335,P13,2
336,P130,1
337,P1300,1
338,P1301,2
339,P1302,2
340,P1303,2
341,P1304,2
342,P1305,2
343,P1306,1
344,P1307,1
345,P1308,2
346,P1309,1
347,P131,2
348,P1310,1
349,P1311,1
350,P1312,1
351,P1313,2
352,P1314,2
353,P132,2
354,P133,2
355,P134,1
356,P135,1
357,P136,1
358,P137,1
359,P138,1
360,P139,2
361,P14,1
362,P140,2
363,P141,2
364,P142,2
365,P143,1
366,P144,2
367,P145,1
368,P146,1
369,P147,1
370,P148,1
371,P149,2
372,P15,1
373,P150,1
374,P151,2
375,P152,1
376,P153,2
377,P154,2
378,P155,1
379,P156,1
380,P157,1
381,P158,1
382,P159,1
383,P16,2
384,P160,2
385,P161,1
